,CODIGO_PROYECTO,TIPO_CUENTA,FECHA,AÑO,MES,CREDITO,DEBITO,TOTAL,NOMBRE_OBRA,NOMBRE_CLIENTE,TOTAL_2,MARGEN
25,1. TOTAL,1. INGRESO,2023-01-01,2023.0,1.0,0,0,0,1. TOTAL,1. TOTAL,0,0.22465952880006174
26,1. TOTAL,2. COSTO MATERIALES,2023-01-01,2023.0,1.0,0,0,0,1. TOTAL,1. TOTAL,0,0.22465952880006174
27,1. TOTAL,3. COSTO MANO DE OBRA,2023-01-01,2023.0,1.0,0,0,0,1. TOTAL,1. TOTAL,0,0.22465952880006174
28,1. TOTAL,4. COSTO SUPERVISIÓN,2023-01-01,2023.0,1.0,0,0,0,1. TOTAL,1. TOTAL,0,0.22465952880006174
29,1. TOTAL,1. INGRESO,2023-02-01,2023.0,2.0,0,0,0,1. TOTAL,1. TOTAL,0,0.27745231421092026
30,1. TOTAL,2. COSTO MATERIALES,2023-02-01,2023.0,2.0,0,0,0,1. TOTAL,1. TOTAL,0,0.27745231421092026
31,1. TOTAL,3. COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,0,0,1. TOTAL,1. TOTAL,0,0.27745231421092026
32,1. TOTAL,4. COSTO SUPERVISIÓN,2023-02-01,2023.0,2.0,0,0,0,1. TOTAL,1. TOTAL,0,0.27745231421092026
33,1. TOTAL,3. COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,0,0,1. TOTAL,1. TOTAL,0,0.24013522758508363
34,1. TOTAL,2. COSTO MATERIALES,2023-03-01,2023.0,3.0,0,0,0,1. TOTAL,1. TOTAL,0,0.33853123025555426
35,1. TOTAL,3. COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,0,0,1. TOTAL,1. TOTAL,0,0.33853123025555426
36,1. TOTAL,4. COSTO SUPERVISIÓN,2023-03-01,2023.0,3.0,0,0,0,1. TOTAL,1. TOTAL,0,0.33853123025555426
37,1. TOTAL,1. INGRESO,2023-05-01,2023.0,5.0,0,0,0,1. TOTAL,1. TOTAL,0,0.5775785039309075
38,1. TOTAL,2. COSTO MATERIALES,2023-05-01,2023.0,5.0,0,0,0,1. TOTAL,1. TOTAL,0,0.5775785039309075
39,1. TOTAL,3. COSTO MANO DE OBRA,2023-05-01,2023.0,5.0,0,0,0,1. TOTAL,1. TOTAL,0,0.5775785039309075
40,1. TOTAL,4. COSTO SUPERVISIÓN,2023-05-01,2023.0,5.0,0,0,0,1. TOTAL,1. TOTAL,0,0.5775785039309075
41,1. TOTAL,1. INGRESO,2023-06-01,2023.0,6.0,0,0,0,1. TOTAL,1. TOTAL,0,-0.4875337252233006
42,1. TOTAL,2. COSTO MATERIALES,2023-06-01,2023.0,6.0,0,0,0,1. TOTAL,1. TOTAL,0,-0.4875337252233006
43,1. TOTAL,1. INGRESO,2023-03-01,2023.0,3.0,0,0,0,1. TOTAL,1. TOTAL,0,0.33853123025555426
44,1. TOTAL,1. INGRESO,2023-04-01,2023.0,4.0,0,0,0,1. TOTAL,1. TOTAL,0,0.24013522758508363
45,P-1557,1. INGRESO,2023-04-01,2023.0,4.0,0,0,0,ROSARIO ROSALES,EBCO S.A.,0,0.0
46,P-1557,3. COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,0,0,ROSARIO ROSALES,EBCO S.A.,0,0.0
47,P-1557,4. COSTO SUPERVISIÓN,2023-04-01,2023.0,4.0,0,0,0,ROSARIO ROSALES,EBCO S.A.,0,0.0
48,P-1557,4. COSTO SUPERVISIÓN,2023-06-01,2023.0,6.0,0,0,0,ROSARIO ROSALES,EBCO S.A.,0,0.0
49,P-1557,3. COSTO MANO DE OBRA,2023-06-01,2023.0,6.0,0,0,0,ROSARIO ROSALES,EBCO S.A.,0,0.0
50,P-1557,2. COSTO MATERIALES,2023-06-01,2023.0,6.0,0,0,0,ROSARIO ROSALES,EBCO S.A.,0,0.0
51,P-1557,1. INGRESO,2023-06-01,2023.0,6.0,0,0,0,ROSARIO ROSALES,EBCO S.A.,0,0.0
52,P-1557,4. COSTO SUPERVISIÓN,2023-05-01,2023.0,5.0,0,0,0,ROSARIO ROSALES,EBCO S.A.,0,0.0
53,P-1557,3. COSTO MANO DE OBRA,2023-05-01,2023.0,5.0,0,0,0,ROSARIO ROSALES,EBCO S.A.,0,0.0
54,P-1557,2. COSTO MATERIALES,2023-05-01,2023.0,5.0,0,0,0,ROSARIO ROSALES,EBCO S.A.,0,0.0
55,P-1557,1. INGRESO,2023-05-01,2023.0,5.0,0,0,0,ROSARIO ROSALES,EBCO S.A.,0,0.0
56,P-1557,4. COSTO SUPERVISIÓN,2023-03-01,2023.0,3.0,0,0,0,ROSARIO ROSALES,EBCO S.A.,0,0.0
57,P-1557,3. COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,0,0,ROSARIO ROSALES,EBCO S.A.,0,0.0
58,P-1557,1. INGRESO,2023-03-01,2023.0,3.0,0,0,0,ROSARIO ROSALES,EBCO S.A.,0,0.0
59,P-1557,4. COSTO SUPERVISIÓN,2023-02-01,2023.0,2.0,0,0,0,ROSARIO ROSALES,EBCO S.A.,0,0.0
60,P-1557,3. COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,0,0,ROSARIO ROSALES,EBCO S.A.,0,0.0
61,P-1557,2. COSTO MATERIALES,2023-02-01,2023.0,2.0,0,0,0,ROSARIO ROSALES,EBCO S.A.,0,0.0
62,P-1557,1. INGRESO,2023-02-01,2023.0,2.0,0,0,0,ROSARIO ROSALES,EBCO S.A.,0,0.0
63,P-1557,4. COSTO SUPERVISIÓN,2023-01-01,2023.0,1.0,0,0,0,ROSARIO ROSALES,EBCO S.A.,0,0.0
64,P-1557,3. COSTO MANO DE OBRA,2023-01-01,2023.0,1.0,0,0,0,ROSARIO ROSALES,EBCO S.A.,0,0.0
65,P-1557,2. COSTO MATERIALES,2023-01-01,2023.0,1.0,0,0,0,ROSARIO ROSALES,EBCO S.A.,0,0.0
66,P-1557,1. INGRESO,2023-01-01,2023.0,1.0,0,0,0,ROSARIO ROSALES,EBCO S.A.,0,0.0
67,P-1557,2. COSTO MATERIALES,2023-04-01,2023.0,4.0,0,0,0,ROSARIO ROSALES,EBCO S.A.,0,0.0
68,P-1557,2. COSTO MATERIALES,2023-03-01,2023.0,3.0,0,0,0,ROSARIO ROSALES,EBCO S.A.,0,0.0
69,P-1557,3. COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,945949,-945949,ROSARIO ROSALES,EBCO S.A.,945949,0.0
70,P-1591,2. COSTO MATERIALES,2023-04-01,2023.0,4.0,0,0,0,EDIFICIO ESTORIL,EBCO S.A.,0,0.0
71,P-1591,1. INGRESO,2023-04-01,2023.0,4.0,0,0,0,EDIFICIO ESTORIL,EBCO S.A.,0,0.0
72,P-1591,4. COSTO SUPERVISIÓN,2023-06-01,2023.0,6.0,0,0,0,EDIFICIO ESTORIL,EBCO S.A.,0,0.0
73,P-1591,3. COSTO MANO DE OBRA,2023-06-01,2023.0,6.0,0,0,0,EDIFICIO ESTORIL,EBCO S.A.,0,0.0
74,P-1591,2. COSTO MATERIALES,2023-06-01,2023.0,6.0,0,0,0,EDIFICIO ESTORIL,EBCO S.A.,0,0.0
75,P-1591,1. INGRESO,2023-06-01,2023.0,6.0,0,0,0,EDIFICIO ESTORIL,EBCO S.A.,0,0.0
76,P-1591,4. COSTO SUPERVISIÓN,2023-05-01,2023.0,5.0,0,0,0,EDIFICIO ESTORIL,EBCO S.A.,0,0.0
77,P-1591,3. COSTO MANO DE OBRA,2023-05-01,2023.0,5.0,0,0,0,EDIFICIO ESTORIL,EBCO S.A.,0,0.0
78,P-1591,2. COSTO MATERIALES,2023-05-01,2023.0,5.0,0,0,0,EDIFICIO ESTORIL,EBCO S.A.,0,0.0
79,P-1591,1. INGRESO,2023-05-01,2023.0,5.0,0,0,0,EDIFICIO ESTORIL,EBCO S.A.,0,0.0
80,P-1591,4. COSTO SUPERVISIÓN,2023-03-01,2023.0,3.0,0,0,0,EDIFICIO ESTORIL,EBCO S.A.,0,0.0
81,P-1591,3. COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,0,0,EDIFICIO ESTORIL,EBCO S.A.,0,0.0
82,P-1591,2. COSTO MATERIALES,2023-03-01,2023.0,3.0,0,0,0,EDIFICIO ESTORIL,EBCO S.A.,0,0.0
83,P-1591,1. INGRESO,2023-03-01,2023.0,3.0,0,0,0,EDIFICIO ESTORIL,EBCO S.A.,0,0.0
84,P-1591,4. COSTO SUPERVISIÓN,2023-02-01,2023.0,2.0,0,0,0,EDIFICIO ESTORIL,EBCO S.A.,0,0.0
85,P-1591,3. COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,0,0,EDIFICIO ESTORIL,EBCO S.A.,0,0.0
86,P-1591,3. COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,0,0,EDIFICIO ESTORIL,EBCO S.A.,0,0.0
87,P-1591,1. INGRESO,2023-02-01,2023.0,2.0,0,0,0,EDIFICIO ESTORIL,EBCO S.A.,0,0.0
88,P-1591,4. COSTO SUPERVISIÓN,2023-01-01,2023.0,1.0,0,0,0,EDIFICIO ESTORIL,EBCO S.A.,0,0.0
89,P-1591,3. COSTO MANO DE OBRA,2023-01-01,2023.0,1.0,0,0,0,EDIFICIO ESTORIL,EBCO S.A.,0,0.0
90,P-1591,2. COSTO MATERIALES,2023-01-01,2023.0,1.0,0,0,0,EDIFICIO ESTORIL,EBCO S.A.,0,0.0
91,P-1591,1. INGRESO,2023-01-01,2023.0,1.0,0,0,0,EDIFICIO ESTORIL,EBCO S.A.,0,0.0
92,P-1591,4. COSTO SUPERVISIÓN,2023-04-01,2023.0,4.0,0,0,0,EDIFICIO ESTORIL,EBCO S.A.,0,0.0
93,P-1591,3. COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,2483998,-2483998,EDIFICIO ESTORIL,EBCO S.A.,2483998,0.0
94,P-1591,2. COSTO MATERIALES,2023-02-01,2023.0,2.0,0,0,0,EDIFICIO ESTORIL,EBCO S.A.,0,0.0
95,P-1592,4. COSTO SUPERVISIÓN,2023-02-01,2023.0,2.0,0,0,0,NUEVA COSTANERA 3300,EBCO S.A.,0,0.0
96,P-1592,1. INGRESO,2023-03-01,2023.0,3.0,0,0,0,NUEVA COSTANERA 3300,EBCO S.A.,0,0.0
97,P-1592,2. COSTO MATERIALES,2023-03-01,2023.0,3.0,0,0,0,NUEVA COSTANERA 3300,EBCO S.A.,0,0.0
98,P-1592,3. COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,0,0,NUEVA COSTANERA 3300,EBCO S.A.,0,0.0
99,P-1592,4. COSTO SUPERVISIÓN,2023-03-01,2023.0,3.0,0,0,0,NUEVA COSTANERA 3300,EBCO S.A.,0,0.0
100,P-1592,1. INGRESO,2023-05-01,2023.0,5.0,0,0,0,NUEVA COSTANERA 3300,EBCO S.A.,0,0.0
101,P-1592,1. INGRESO,2023-06-01,2023.0,6.0,0,0,0,NUEVA COSTANERA 3300,EBCO S.A.,0,0.0
102,P-1592,3. COSTO MANO DE OBRA,2023-05-01,2023.0,5.0,0,0,0,NUEVA COSTANERA 3300,EBCO S.A.,0,0.0
103,P-1592,4. COSTO SUPERVISIÓN,2023-05-01,2023.0,5.0,0,0,0,NUEVA COSTANERA 3300,EBCO S.A.,0,0.0
104,P-1592,3. COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,0,0,NUEVA COSTANERA 3300,EBCO S.A.,0,0.0
105,P-1592,2. COSTO MATERIALES,2023-06-01,2023.0,6.0,0,0,0,NUEVA COSTANERA 3300,EBCO S.A.,0,0.0
106,P-1592,4. COSTO SUPERVISIÓN,2023-06-01,2023.0,6.0,0,0,0,NUEVA COSTANERA 3300,EBCO S.A.,0,0.0
107,P-1592,2. COSTO MATERIALES,2023-05-01,2023.0,5.0,0,0,0,NUEVA COSTANERA 3300,EBCO S.A.,0,0.0
108,P-1592,2. COSTO MATERIALES,2023-02-01,2023.0,2.0,0,0,0,NUEVA COSTANERA 3300,EBCO S.A.,0,0.0
109,P-1592,3. COSTO MANO DE OBRA,2023-06-01,2023.0,6.0,0,0,0,NUEVA COSTANERA 3300,EBCO S.A.,0,0.0
110,P-1592,4. COSTO SUPERVISIÓN,2023-01-01,2023.0,1.0,0,0,0,NUEVA COSTANERA 3300,EBCO S.A.,0,0.0
111,P-1592,1. INGRESO,2023-02-01,2023.0,2.0,0,0,0,NUEVA COSTANERA 3300,EBCO S.A.,0,0.0
112,P-1592,2. COSTO MATERIALES,2023-05-01,2023.0,5.0,51537,0,51537,NUEVA COSTANERA 3300,EBCO S.A.,51537,0.0
113,P-1592,2. COSTO MATERIALES,2023-03-01,2023.0,3.0,47815,0,47815,NUEVA COSTANERA 3300,EBCO S.A.,47815,0.0
114,P-1592,2. COSTO MATERIALES,2023-02-01,2023.0,2.0,0,102993,-102993,NUEVA COSTANERA 3300,EBCO S.A.,102993,0.0
115,P-1592,1. INGRESO,2023-04-01,2023.0,4.0,0,0,0,NUEVA COSTANERA 3300,EBCO S.A.,0,0.0
116,P-1592,2. COSTO MATERIALES,2023-01-01,2023.0,1.0,45357,0,45357,NUEVA COSTANERA 3300,EBCO S.A.,45357,0.0
117,P-1592,3. COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,0,0,NUEVA COSTANERA 3300,EBCO S.A.,0,0.0
118,P-1592,4. COSTO SUPERVISIÓN,2023-04-01,2023.0,4.0,0,0,0,NUEVA COSTANERA 3300,EBCO S.A.,0,0.0
119,P-1592,1. INGRESO,2023-01-01,2023.0,1.0,0,0,0,NUEVA COSTANERA 3300,EBCO S.A.,0,0.0
120,P-1592,2. COSTO MATERIALES,2023-01-01,2023.0,1.0,0,0,0,NUEVA COSTANERA 3300,EBCO S.A.,0,0.0
121,P-1592,3. COSTO MANO DE OBRA,2023-01-01,2023.0,1.0,0,0,0,NUEVA COSTANERA 3300,EBCO S.A.,0,0.0
122,P-1592,2. COSTO MATERIALES,2023-04-01,2023.0,4.0,0,0,0,NUEVA COSTANERA 3300,EBCO S.A.,0,0.0
123,P-1603,4. COSTO SUPERVISIÓN,2023-03-01,2023.0,3.0,0,0,0,FARELLONES,EMPRESA CONSTRUCTORA DLP S.A.,0,0.0
124,P-1603,1. INGRESO,2023-03-01,2023.0,3.0,0,0,0,FARELLONES,EMPRESA CONSTRUCTORA DLP S.A.,0,0.0
125,P-1603,2. COSTO MATERIALES,2023-03-01,2023.0,3.0,0,0,0,FARELLONES,EMPRESA CONSTRUCTORA DLP S.A.,0,0.0
126,P-1603,3. COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,0,0,FARELLONES,EMPRESA CONSTRUCTORA DLP S.A.,0,0.0
127,P-1603,1. INGRESO,2023-05-01,2023.0,5.0,0,0,0,FARELLONES,EMPRESA CONSTRUCTORA DLP S.A.,0,0.0
128,P-1603,4. COSTO SUPERVISIÓN,2023-06-01,2023.0,6.0,0,0,0,FARELLONES,EMPRESA CONSTRUCTORA DLP S.A.,0,0.0
129,P-1603,3. COSTO MANO DE OBRA,2023-05-01,2023.0,5.0,0,0,0,FARELLONES,EMPRESA CONSTRUCTORA DLP S.A.,0,0.0
130,P-1603,4. COSTO SUPERVISIÓN,2023-05-01,2023.0,5.0,0,0,0,FARELLONES,EMPRESA CONSTRUCTORA DLP S.A.,0,0.0
131,P-1603,1. INGRESO,2023-06-01,2023.0,6.0,0,0,0,FARELLONES,EMPRESA CONSTRUCTORA DLP S.A.,0,0.0
132,P-1603,2. COSTO MATERIALES,2023-06-01,2023.0,6.0,0,0,0,FARELLONES,EMPRESA CONSTRUCTORA DLP S.A.,0,0.0
133,P-1603,3. COSTO MANO DE OBRA,2023-06-01,2023.0,6.0,0,0,0,FARELLONES,EMPRESA CONSTRUCTORA DLP S.A.,0,0.0
134,P-1603,2. COSTO MATERIALES,2023-05-01,2023.0,5.0,0,0,0,FARELLONES,EMPRESA CONSTRUCTORA DLP S.A.,0,0.0
135,P-1603,4. COSTO SUPERVISIÓN,2023-02-01,2023.0,2.0,0,0,0,FARELLONES,EMPRESA CONSTRUCTORA DLP S.A.,0,0.0
136,P-1603,2. COSTO MATERIALES,2023-02-01,2023.0,2.0,0,0,0,FARELLONES,EMPRESA CONSTRUCTORA DLP S.A.,0,0.0
137,P-1603,1. INGRESO,2023-02-01,2023.0,2.0,0,0,0,FARELLONES,EMPRESA CONSTRUCTORA DLP S.A.,0,0.0
138,P-1603,3. COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,0,0,FARELLONES,EMPRESA CONSTRUCTORA DLP S.A.,0,0.0
139,P-1603,1. INGRESO,2023-04-01,2023.0,4.0,0,0,0,FARELLONES,EMPRESA CONSTRUCTORA DLP S.A.,0,0.0
140,P-1603,2. COSTO MATERIALES,2023-04-01,2023.0,4.0,0,0,0,FARELLONES,EMPRESA CONSTRUCTORA DLP S.A.,0,0.0
141,P-1603,3. COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,0,0,FARELLONES,EMPRESA CONSTRUCTORA DLP S.A.,0,0.0
142,P-1603,2. COSTO MATERIALES,2023-04-01,2023.0,4.0,0,30000,-30000,FARELLONES,EMPRESA CONSTRUCTORA DLP S.A.,30000,0.0
143,P-1603,1. INGRESO,2023-01-01,2023.0,1.0,0,0,0,FARELLONES,EMPRESA CONSTRUCTORA DLP S.A.,0,0.0
144,P-1603,2. COSTO MATERIALES,2023-01-01,2023.0,1.0,0,0,0,FARELLONES,EMPRESA CONSTRUCTORA DLP S.A.,0,0.0
145,P-1603,3. COSTO MANO DE OBRA,2023-01-01,2023.0,1.0,0,0,0,FARELLONES,EMPRESA CONSTRUCTORA DLP S.A.,0,0.0
146,P-1603,4. COSTO SUPERVISIÓN,2023-01-01,2023.0,1.0,0,0,0,FARELLONES,EMPRESA CONSTRUCTORA DLP S.A.,0,0.0
147,P-1603,4. COSTO SUPERVISIÓN,2023-04-01,2023.0,4.0,0,0,0,FARELLONES,EMPRESA CONSTRUCTORA DLP S.A.,0,0.0
148,P-1611,2. COSTO MATERIALES,2023-03-01,2023.0,3.0,0,0,0,EDIFICIO PLAZA EGAÑA,EBCO S.A.,0,0.0
149,P-1611,3. COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,0,0,EDIFICIO PLAZA EGAÑA,EBCO S.A.,0,0.0
150,P-1611,4. COSTO SUPERVISIÓN,2023-03-01,2023.0,3.0,0,0,0,EDIFICIO PLAZA EGAÑA,EBCO S.A.,0,0.0
151,P-1611,1. INGRESO,2023-05-01,2023.0,5.0,0,0,0,EDIFICIO PLAZA EGAÑA,EBCO S.A.,0,0.0
152,P-1611,4. COSTO SUPERVISIÓN,2023-06-01,2023.0,6.0,0,0,0,EDIFICIO PLAZA EGAÑA,EBCO S.A.,0,0.0
153,P-1611,4. COSTO SUPERVISIÓN,2023-05-01,2023.0,5.0,0,0,0,EDIFICIO PLAZA EGAÑA,EBCO S.A.,0,0.0
154,P-1611,1. INGRESO,2023-06-01,2023.0,6.0,0,0,0,EDIFICIO PLAZA EGAÑA,EBCO S.A.,0,0.0
155,P-1611,2. COSTO MATERIALES,2023-06-01,2023.0,6.0,0,0,0,EDIFICIO PLAZA EGAÑA,EBCO S.A.,0,0.0
156,P-1611,1. INGRESO,2023-03-01,2023.0,3.0,0,0,0,EDIFICIO PLAZA EGAÑA,EBCO S.A.,0,0.0
157,P-1611,3. COSTO MANO DE OBRA,2023-06-01,2023.0,6.0,0,0,0,EDIFICIO PLAZA EGAÑA,EBCO S.A.,0,0.0
158,P-1611,3. COSTO MANO DE OBRA,2023-05-01,2023.0,5.0,0,0,0,EDIFICIO PLAZA EGAÑA,EBCO S.A.,0,0.0
159,P-1611,4. COSTO SUPERVISIÓN,2023-02-01,2023.0,2.0,0,0,0,EDIFICIO PLAZA EGAÑA,EBCO S.A.,0,0.0
160,P-1611,2. COSTO MATERIALES,2023-05-01,2023.0,5.0,0,0,0,EDIFICIO PLAZA EGAÑA,EBCO S.A.,0,0.0
161,P-1611,2. COSTO MATERIALES,2023-02-01,2023.0,2.0,0,0,0,EDIFICIO PLAZA EGAÑA,EBCO S.A.,0,0.0
162,P-1611,3. COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,0,0,EDIFICIO PLAZA EGAÑA,EBCO S.A.,0,0.0
163,P-1611,2. COSTO MATERIALES,2023-02-01,2023.0,2.0,6648,0,6648,EDIFICIO PLAZA EGAÑA,EBCO S.A.,6648,0.0
164,P-1611,1. INGRESO,2023-04-01,2023.0,4.0,0,0,0,EDIFICIO PLAZA EGAÑA,EBCO S.A.,0,0.0
165,P-1611,2. COSTO MATERIALES,2023-04-01,2023.0,4.0,0,0,0,EDIFICIO PLAZA EGAÑA,EBCO S.A.,0,0.0
166,P-1611,3. COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,0,0,EDIFICIO PLAZA EGAÑA,EBCO S.A.,0,0.0
167,P-1611,1. INGRESO,2023-02-01,2023.0,2.0,0,0,0,EDIFICIO PLAZA EGAÑA,EBCO S.A.,0,0.0
168,P-1611,1. INGRESO,2023-01-01,2023.0,1.0,0,0,0,EDIFICIO PLAZA EGAÑA,EBCO S.A.,0,0.0
169,P-1611,2. COSTO MATERIALES,2023-01-01,2023.0,1.0,0,0,0,EDIFICIO PLAZA EGAÑA,EBCO S.A.,0,0.0
170,P-1611,3. COSTO MANO DE OBRA,2023-01-01,2023.0,1.0,0,0,0,EDIFICIO PLAZA EGAÑA,EBCO S.A.,0,0.0
171,P-1611,4. COSTO SUPERVISIÓN,2023-01-01,2023.0,1.0,0,0,0,EDIFICIO PLAZA EGAÑA,EBCO S.A.,0,0.0
172,P-1611,4. COSTO SUPERVISIÓN,2023-04-01,2023.0,4.0,0,0,0,EDIFICIO PLAZA EGAÑA,EBCO S.A.,0,0.0
173,P-1612,4. COSTO SUPERVISIÓN,2023-06-01,2023.0,6.0,0,0,0,BARRIO PARQUE SANTIAGO 7,CONSTRUCTORA ALTURAS DEL SUR S.A,0,0.0
174,P-1612,3. COSTO MANO DE OBRA,2023-06-01,2023.0,6.0,0,0,0,BARRIO PARQUE SANTIAGO 7,CONSTRUCTORA ALTURAS DEL SUR S.A,0,0.0
175,P-1612,2. COSTO MATERIALES,2023-06-01,2023.0,6.0,0,0,0,BARRIO PARQUE SANTIAGO 7,CONSTRUCTORA ALTURAS DEL SUR S.A,0,0.0
176,P-1612,1. INGRESO,2023-06-01,2023.0,6.0,0,0,0,BARRIO PARQUE SANTIAGO 7,CONSTRUCTORA ALTURAS DEL SUR S.A,0,0.0
177,P-1612,4. COSTO SUPERVISIÓN,2023-05-01,2023.0,5.0,0,0,0,BARRIO PARQUE SANTIAGO 7,CONSTRUCTORA ALTURAS DEL SUR S.A,0,0.0
178,P-1612,3. COSTO MANO DE OBRA,2023-05-01,2023.0,5.0,0,0,0,BARRIO PARQUE SANTIAGO 7,CONSTRUCTORA ALTURAS DEL SUR S.A,0,0.0
179,P-1612,2. COSTO MATERIALES,2023-05-01,2023.0,5.0,0,0,0,BARRIO PARQUE SANTIAGO 7,CONSTRUCTORA ALTURAS DEL SUR S.A,0,0.0
180,P-1612,1. INGRESO,2023-05-01,2023.0,5.0,0,0,0,BARRIO PARQUE SANTIAGO 7,CONSTRUCTORA ALTURAS DEL SUR S.A,0,0.0
181,P-1612,3. COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,0,0,BARRIO PARQUE SANTIAGO 7,CONSTRUCTORA ALTURAS DEL SUR S.A,0,0.0
