CODIGO_PROYECTO,TIPO_CUENTA,TOTAL_LB,NOMBRE_OBRA,NOMBRE_CLIENTE,TOTAL YTD,TOTAL LB OLD,TOTAL_PDT,MARGEN,TOTAL_PREP,% AVANCE
P-1669,3. COSTO MANO DE OBRA,0.0,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,-156861.0,-3156860.0,-3313721.0,0.5997798305946107,-9423692.0,0.3516372351727964
P-1669,2. COSTO MATERIALES,0.0,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,1670169.0,-6319064.0,-4648895.0,0.5997798305946107,-32905472.0,0.141280301343193
P-1670,2. COSTO MATERIALES,0.0,MK II SEGURIDAD Y REDES,COMERCIAL K SPA.,6945.0,-56749120.0,-56742175.0,0.6514248708367071,-77955381.0,0.7278801574967608
P-1670,1. INGRESO,0.0,MK II SEGURIDAD Y REDES,COMERCIAL K SPA.,0.0,164021639.0,164021639.0,0.6514248708367071,202553946.0,0.8097676803590882
P-1672,2. COSTO MATERIALES,0.0,STA CLARA (CCDD-TELECOM),CONSTRUCTORA UPC S.A.,-229982.0,-45941535.0,-46171517.0,0.31450083778942584,-44333167.0,1.041466696931442
P-1672,1. INGRESO,0.0,STA CLARA (CCDD-TELECOM),CONSTRUCTORA UPC S.A.,9435519.0,125091722.0,134527241.0,0.31450083778942584,134443080.0,1.0006259972621872
P-1673,2. COSTO MATERIALES,0.0,INACAP TEMUCO - ETAPA A,UNIVERSIDAD TECNOLOGICA DE CHILE INACAP,68000.0,-11734275.0,-11666275.0,0.5648658045846682,-10704866.0,1.0898104656331056
P-1674,2. COSTO MATERIALES,0.0,OFICINAS BEIERSDORF CHORRILLOS,CONSTRUCTORA SUKSA S.A.,23048.0,-8624174.0,-8601126.0,0.6281379965058812,-12233776.0,0.703063878233507
P-1675,2. COSTO MATERIALES,0.0,PALENA II,CONSTRUCTORA MYA SPA.,0.0,-7984413.0,-7984413.0,0.2687229447010022,-7361719.0,1.0845854072941388
P-1675,1. INGRESO,0.0,PALENA II,CONSTRUCTORA MYA SPA.,398016.0,16753199.0,17151215.0,0.2687229447010022,17376021.169303447,0.9870622758160199
P-1676,3. COSTO MANO DE OBRA,0.0,LO CAMPINO,EBCO S.A.,-1798488.0,-27522442.0,-29320930.0,0.5900790986807569,-41959762.0,0.6987868520321922
P-1676,2. COSTO MATERIALES,0.0,LO CAMPINO,EBCO S.A.,-1518340.0,-30281474.0,-31799814.0,0.5900790986807569,-41750844.0,0.7616567942913921
P-1677,3. COSTO MANO DE OBRA,0.0,GALVARINO GALLARDO,MOLLER Y PEREZ - COTAPOS CONSTRUCCIONES INDUSTRIALES S.A,-1992711.0,-24439480.0,-26432191.0,0.3530039045446605,-18678829.0,1.415088226355089
P-1677,2. COSTO MATERIALES,0.0,GALVARINO GALLARDO,MOLLER Y PEREZ - COTAPOS CONSTRUCCIONES INDUSTRIALES S.A,-1379557.0,-30518645.0,-31898202.0,0.3530039045446605,-35515426.0,0.8981506233375885
P-1677,1. INGRESO,0.0,GALVARINO GALLARDO,MOLLER Y PEREZ - COTAPOS CONSTRUCCIONES INDUSTRIALES S.A,2369790.0,87785921.0,90155711.0,0.3530039045446605,83882285.07154739,1.074788448158055
P-1679,3. COSTO MANO DE OBRA,0.0,JUAN SABAJ,CONSTRUCTORA GREVIA,-187507.0,0.0,-187507.0,0.0,-28372514.0,0.006608755219928696
P-1679,2. COSTO MATERIALES,0.0,JUAN SABAJ,CONSTRUCTORA GREVIA,-96622.0,0.0,-96622.0,0.0,-61846896.0,0.0015622772725732267
P-1680,3. COSTO MANO DE OBRA,0.0,NUEVA UNO,CONSTRUCTORA TECSA S.A.,-30438122.0,-34991640.0,-65429762.0,0.25123463139084584,-61607735.0,1.0620381028453652
P-1680,2. COSTO MATERIALES,0.0,NUEVA UNO,CONSTRUCTORA TECSA S.A.,-38459095.0,-37451265.0,-75910360.0,0.25123463139084584,-67931016.0,1.1174624563248106
P-1680,1. INGRESO,0.0,NUEVA UNO,CONSTRUCTORA TECSA S.A.,76988974.0,111775261.0,188764235.0,0.25123463139084584,206761360.91,0.9129570156106979
P-1681,1. INGRESO,0.0, CD ROSEN (CCTV PROVISORIO),COLCHONES ROSEN SAIC,765714.0,10720132.0,11485846.0,0.7126792401709026,11390647.751486275,1.0083575798840152
P-1682,3. COSTO MANO DE OBRA,0.0,PLAZA CEPPI,EMP. CONSTRUCTORA INGENIEROS S.A.,-10329193.0,-10680840.0,-21010033.0,0.3765149181992104,0.0,0.0
P-1682,2. COSTO MATERIALES,0.0,PLAZA CEPPI,EMP. CONSTRUCTORA INGENIEROS S.A.,-10525711.0,-14706814.0,-25232525.0,0.3765149181992104,-23788513.0,1.0607020707851726
P-1682,1. INGRESO,0.0,PLAZA CEPPI,EMP. CONSTRUCTORA INGENIEROS S.A.,40667512.0,33500354.0,74167866.0,0.3765149181992104,77511681.77212289,0.956860492564806
P-1683,2. COSTO MATERIALES,0.0,CD BP-A05,EBCO S.A.,31328.0,-23770048.0,-23738720.0,0.5528991763091382,-29098536.6,0.8158045996031291
P-1684,3. COSTO MANO DE OBRA,0.0,EDIFICIO GOYCOLEA,EBCO S.A.,-6707469.0,-5364295.0,-12071764.0,0.32101938009995523,-27881386.0,0.43296857623935914
P-1684,2. COSTO MATERIALES,0.0,EDIFICIO GOYCOLEA,EBCO S.A.,-1102528.0,-5991186.0,-7093714.0,0.32101938009995523,-59464726.0,0.11929280562059598
P-1684,1. INGRESO,0.0,EDIFICIO GOYCOLEA,EBCO S.A.,10044427.0,18182414.0,28226841.0,0.32101938009995523,164431253.34631807,0.1716634789649741
P-1685,2. COSTO MATERIALES,0.0,MAPA EDIFICIOS NO OPERACIONALES,CLARO VICUÑA VALENZUELA S.A.,88900.0,-16551905.0,-16463005.0,0.0416261578493033,-84597413.0,0.19460411868622982
P-1686,3. COSTO MANO DE OBRA,0.0,MACUL ICALMA,EMPRESA CONSTRUCTORA INGEVEC S.A.,-16633780.0,-21817526.0,-38451306.0,0.2616793784571532,-19743989.0,1.9474942981380308
P-1686,2. COSTO MATERIALES,0.0,MACUL ICALMA,EMPRESA CONSTRUCTORA INGEVEC S.A.,-12682908.0,-22422016.0,-35104924.0,0.2616793784571532,-33753271.0,1.040045096666335
P-1686,1. INGRESO,0.0,MACUL ICALMA,EMPRESA CONSTRUCTORA INGEVEC S.A.,31888582.0,67737824.0,99626406.0,0.2616793784571532,105081270.12698555,0.9480890921817597
P-1687,3. COSTO MANO DE OBRA,0.0,ROJAS MAGALLANES,E.MOLINA MOREL CONSTRUCTORA S.A.,-6003676.0,-1391760.0,-7395436.0,0.3143502747288592,-4344898.0,1.7020965739586982
P-1687,2. COSTO MATERIALES,0.0,ROJAS MAGALLANES,E.MOLINA MOREL CONSTRUCTORA S.A.,-6360393.0,-3323092.0,-9683485.0,0.3143502747288592,-11545480.0,0.8387251980861774
P-1687,1. INGRESO,0.0,ROJAS MAGALLANES,E.MOLINA MOREL CONSTRUCTORA S.A.,19576547.0,5332558.0,24909105.0,0.3143502747288592,25285885.041856248,0.9850991950160116
P-1688,3. COSTO MANO DE OBRA,0.0,SUIZA,MOLLER Y PEREZ - COTAPOS CONSTRUCCIONES INDUSTRIALES S.A,-10238516.0,-3626251.0,-13864767.0,0.20956141166861011,-7417508.0,1.8691947484249427
P-1688,2. COSTO MATERIALES,0.0,SUIZA,MOLLER Y PEREZ - COTAPOS CONSTRUCCIONES INDUSTRIALES S.A,-14702007.0,-7648784.0,-22350791.0,0.20956141166861011,-20308610.0,1.1005573990538988
P-1688,1. INGRESO,0.0,SUIZA,MOLLER Y PEREZ - COTAPOS CONSTRUCCIONES INDUSTRIALES S.A,29449965.0,16367077.0,45817042.0,0.20956141166861011,50214086.805994794,0.9124340382215245
P-1689,2. COSTO MATERIALES,0.0,CASINO BUENAVENTURA,EBCO S.A.,26522.0,-8884093.0,-8857571.0,0.5141509543633229,-10722527.0,0.826071223695683
P-1690,3. COSTO MANO DE OBRA,0.0,ONGOLMO - HOME CONDOMINIO,CANTAUCO CONSTRUCCION LTDA.,-5817571.0,-16380832.0,-22198403.0,0.15057668089597426,0.0,0.0
P-1690,2. COSTO MATERIALES,0.0,ONGOLMO - HOME CONDOMINIO,CANTAUCO CONSTRUCCION LTDA.,-7360105.0,-14881487.0,-22241592.0,0.15057668089597426,-22724089.0,0.9787671576185079
P-1690,1. INGRESO,0.0,ONGOLMO - HOME CONDOMINIO,CANTAUCO CONSTRUCCION LTDA.,16662806.0,35655036.0,52317842.0,0.15057668089597426,64872885.77759347,0.8064670065605456
P-1691,3. COSTO MANO DE OBRA,0.0,ROSARIO ROSALES,CONSTRUCTORA E INMOBILIARIA PRADOVERDE LTDA.,-252060.0,-16971354.0,-17223414.0,0.1644129011874976,-8420659.0,2.0453760210453837
P-1691,2. COSTO MATERIALES,0.0,ROSARIO ROSALES,CONSTRUCTORA E INMOBILIARIA PRADOVERDE LTDA.,-1214688.0,-16324925.0,-17539613.0,0.1644129011874976,-17150045.0,1.0227152756742037
P-1691,1. INGRESO,0.0,ROSARIO ROSALES,CONSTRUCTORA E INMOBILIARIA PRADOVERDE LTDA.,2124157.0,39478959.0,41603116.0,0.1644129011874976,5751334.0345,7.233646272402056
P-1692,3. COSTO MANO DE OBRA,0.0,JOSÉ PEREZ COTAPOS,EBCO S.A.,-27116720.0,-18580010.0,-45696730.0,-0.03930969932168807,-23173688.0,1.9719230706825777
P-1692,2. COSTO MATERIALES,0.0,JOSÉ PEREZ COTAPOS,EBCO S.A.,-22844452.0,-19903851.0,-42748303.0,-0.03930969932168807,-34744592.0,1.230358468448845
P-1692,1. INGRESO,0.0,JOSÉ PEREZ COTAPOS,EBCO S.A.,46902525.0,38197261.0,85099786.0,-0.03930969932168807,91720000.0,0.92782147841256
P-1693,3. COSTO MANO DE OBRA,0.0,VOLTA V0800,ECOBIO SPA,-5232840.0,-21275681.0,-26508521.0,0.1627890052067363,-11371251.0,2.331187747064945
P-1693,2. COSTO MATERIALES,0.0,VOLTA V0800,ECOBIO SPA,103024.0,-89715133.0,-89612109.0,0.1627890052067363,-84368545.0,1.062150698462324
P-1694,3. COSTO MANO DE OBRA,0.0,ECO HUEMUL,CONSTRUCTORA ICF SPA,-17678245.0,-5421516.0,-23099761.0,0.2282126808326849,0.0,0.0
P-1694,2. COSTO MATERIALES,0.0,ECO HUEMUL,CONSTRUCTORA ICF SPA,-22032871.0,-4165442.0,-26198313.0,0.2282126808326849,-57440940.0,0.4560913000379172
P-1694,1. INGRESO,0.0,ECO HUEMUL,CONSTRUCTORA ICF SPA,54451538.0,9423668.0,63875206.0,0.2282126808326849,189774065.86611313,0.33658553769440963
P-1695,3. COSTO MANO DE OBRA,0.0,EDIFICIO ESTORIL,EMPRESA CONSTRUCTORA BRAVO E IZQUIERDO,-5042385.0,-8121303.0,-13163688.0,0.11174960252618218,-19577383.0,0.6723926277582658
P-1695,2. COSTO MATERIALES,0.0,EDIFICIO ESTORIL,EMPRESA CONSTRUCTORA BRAVO E IZQUIERDO,-18940946.0,-6706085.0,-25647031.0,0.11174960252618218,-41184361.0,0.6227371355840631
P-1695,1. INGRESO,0.0,EDIFICIO ESTORIL,EMPRESA CONSTRUCTORA BRAVO E IZQUIERDO,28719770.0,14973674.0,43693444.0,0.11174960252618218,94918400.0,0.46032638561121975
P-1696,3. COSTO MANO DE OBRA,0.0,SANTA VICTORIA - TERRACORP,CONSTRUCTORA TERRACORP S.A.,-15747680.0,-19361193.0,-35108873.0,0.12652190883963693,0.0,0.0
P-1696,2. COSTO MATERIALES,0.0,SANTA VICTORIA - TERRACORP,CONSTRUCTORA TERRACORP S.A.,-20459616.0,-10392527.0,-30852143.0,0.12652190883963693,-30348318.0,1.016601414285958
P-1696,1. INGRESO,0.0,SANTA VICTORIA - TERRACORP,CONSTRUCTORA TERRACORP S.A.,37346142.0,38169222.0,75515364.0,0.12652190883963693,75985768.28533825,0.993809310664968
P-1697,3. COSTO MANO DE OBRA,0.0,ESTOCOLMO,CONSTRUCTORA FORTALEZA S.A,-11388112.0,-8818929.0,-20207041.0,0.45725055215443966,0.0,0.0
P-1697,2. COSTO MATERIALES,0.0,ESTOCOLMO,CONSTRUCTORA FORTALEZA S.A,-17660281.0,-10818529.0,-28478810.0,0.45725055215443966,-43150692.0,0.65998501252309
P-1697,1. INGRESO,0.0,ESTOCOLMO,CONSTRUCTORA FORTALEZA S.A,53923452.0,35778806.0,89702258.0,0.45725055215443966,97580171.13832003,0.9192672748323727
P-1698,2. COSTO MATERIALES,0.0,CD ANDES,EBCO S.A.,924.0,-25888301.0,-25887377.0,0.36113614709542224,-27960522.0,0.9258545673789638
P-1698,1. INGRESO,0.0,CD ANDES,EBCO S.A.,909040.0,69364255.0,70273295.0,0.36113614709542224,57807633.83236125,1.215640398010208
P-1699,3. COSTO MANO DE OBRA,0.0,VILLA PANAMERICANA LOTE B,EMPRESA CONSTRUCTORA DLP S.A.,-21466214.0,-1005045.0,-22471259.0,0.4328747016917005,0.0,0.0
P-1699,2. COSTO MATERIALES,0.0,VILLA PANAMERICANA LOTE B,EMPRESA CONSTRUCTORA DLP S.A.,-31245254.0,-22960.0,-31268214.0,0.4328747016917005,-156685807.0,0.19955996397299725
P-1699,1. INGRESO,0.0,VILLA PANAMERICANA LOTE B,EMPRESA CONSTRUCTORA DLP S.A.,94757672.0,0.0,94757672.0,0.4328747016917005,406744605.6137377,0.23296602018118953
P-1700,3. COSTO MANO DE OBRA,0.0,CD ORIZON,EBCO S.A.,-4264241.0,-27789610.0,-32053851.0,0.24257186530539177,-22319794.0,1.4361176899750956
P-1700,2. COSTO MATERIALES,0.0,CD ORIZON,EBCO S.A.,-7753684.0,-55657805.0,-63411489.0,0.24257186530539177,-72938784.0,0.869379574521012
P-1700,1. INGRESO,0.0,CD ORIZON,EBCO S.A.,16747965.0,109290844.0,126038809.0,0.24257186530539177,149471447.02094412,0.8432300048740365
P-1701,3. COSTO MANO DE OBRA,0.0,EDIFICIO ZENTENO,CONSTRUCTORA GREVIA SPA.,-891528.0,-24664670.0,-25556198.0,0.2610171005095846,-28379446.0,0.9005178607080632
P-1701,2. COSTO MATERIALES,0.0,EDIFICIO ZENTENO,CONSTRUCTORA GREVIA SPA.,-1111637.0,-32102804.0,-33214441.0,0.2610171005095846,-42377348.0,0.7837781873466929
P-1701,1. INGRESO,0.0,EDIFICIO ZENTENO,CONSTRUCTORA GREVIA SPA.,1393986.0,78135106.0,79529092.0,0.2610171005095846,74623683.21555193,1.0657352809868512
P-1703,3. COSTO MANO DE OBRA,0.0,SANTA VICTORIA DANACORP,DANACORP S.A,-9066189.0,-7235935.0,-16302124.0,0.301525673415447,-10943242.0,1.4896978427416665
P-1703,2. COSTO MATERIALES,0.0,SANTA VICTORIA DANACORP,DANACORP S.A,-12618137.0,-7394307.0,-20012444.0,0.301525673415447,-22488985.0,0.8898776000784384
P-1703,1. INGRESO,0.0,SANTA VICTORIA DANACORP,DANACORP S.A,35296641.0,16694630.0,51991271.0,0.301525673415447,56316406.63043365,0.9231993678357965
P-1704,3. COSTO MANO DE OBRA,0.0,CD MERCADO LIBRE MEZZANINA,EBCO S.A.,-57592474.0,-87942380.0,-145534854.0,0.4999964869052171,-156095149.0,0.9323470648021227
P-1704,2. COSTO MATERIALES,0.0,CD MERCADO LIBRE MEZZANINA,EBCO S.A.,-72089322.0,-125594139.0,-197683461.0,0.4999964869052171,-387816472.0,0.5097345658902286
P-1704,1. INGRESO,0.0,CD MERCADO LIBRE MEZZANINA,EBCO S.A.,220776196.0,465655611.0,686431807.0,0.4999964869052171,1058718831.8694887,0.6483608171849524
P-1705,3. COSTO MANO DE OBRA,0.0,LOS CLARINES,CONSTRUCTORA INARCO S.A.,-13614309.0,0.0,-13614309.0,0.05182139736251048,-14129156.0,0.96356137620676
P-1705,2. COSTO MATERIALES,0.0,LOS CLARINES,CONSTRUCTORA INARCO S.A.,-15060169.0,-43782.0,-15103951.0,0.05182139736251048,-21364144.0,0.7069766520952115
P-1705,1. INGRESO,0.0,LOS CLARINES,CONSTRUCTORA INARCO S.A.,30287816.0,1.0,30287817.0,0.05182139736251048,65889598.10132677,0.4596752427207492
P-1706,3. COSTO MANO DE OBRA,0.0,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,-7826478.0,0.0,-7826478.0,0.4241583321873975,-19349502.0,0.4044795571482925
P-1706,2. COSTO MATERIALES,0.0,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,-13077846.0,0.0,-13077846.0,0.4241583321873975,-39538656.0,0.3307610152454347
P-1706,1. INGRESO,0.0,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,36302208.0,0.0,36302208.0,0.4241583321873975,104786220.54480116,0.34644066568350995
P-1707,3. COSTO MANO DE OBRA,0.0,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,-7528867.0,-8068564.0,-15597431.0,0.14994861433673465,-15679431.0,0.9947702183835625
P-1707,2. COSTO MATERIALES,0.0,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,-8495556.0,-7486796.0,-15982352.0,0.14994861433673465,-23066986.0,0.6928669397900532
P-1707,1. INGRESO,0.0,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,11263421.0,25887019.0,37150440.0,0.14994861433673465,67945807.15644336,0.5467657469203674
P-1708,3. COSTO MANO DE OBRA,0.0,ECO ESPAÑA,CONSTRUCTORA ICF SPA,-1679752.0,0.0,-1679752.0,-3.601971998337545,-42796967.0,0.0392493234392054
P-1708,2. COSTO MATERIALES,0.0,ECO ESPAÑA,CONSTRUCTORA ICF SPA,-125100.0,0.0,-125100.0,-3.601971998337545,-83658973.0,0.0014953566307824506
P-1708,1. INGRESO,0.0,ECO ESPAÑA,CONSTRUCTORA ICF SPA,392191.0,0.0,392191.0,-3.601971998337545,213452539.86256003,0.0018373686265458723
P-1709,3. COSTO MANO DE OBRA,0.0,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,-10702189.0,-2009577.0,-12711766.0,0.4419072218166717,-8592182.0,1.4794572554445424
P-1709,2. COSTO MATERIALES,0.0,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,-26461522.0,-7698677.0,-34160199.0,0.4419072218166717,-44673467.0,0.7646641573621318
P-1709,1. INGRESO,0.0,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,76827615.0,7158358.0,83985973.0,0.4419072218166717,105853124.46769226,0.7934198770451373
P-1712,3. COSTO MANO DE OBRA,0.0,CENTRO COMERCIAL VIÑA OUTLET PARK,EBCO S.A.,-15455648.0,-16834766.0,-32290414.0,0.5304741290696028,-30109897.0,1.072418613720266
P-1712,2. COSTO MATERIALES,0.0,CENTRO COMERCIAL VIÑA OUTLET PARK,EBCO S.A.,-18624205.0,-26612966.0,-45237171.0,0.5304741290696028,-104292394.0,0.43375330899010717
P-1712,1. INGRESO,0.0,CENTRO COMERCIAL VIÑA OUTLET PARK,EBCO S.A.,32769320.0,132349558.0,165118878.0,0.5304741290696028,215321946.831668,0.7668464846692326
P-1713,3. COSTO MANO DE OBRA,0.0,RESERVA SAN FRANCISCO,EMPRESA NACIONAL DE CONSTRUCCIÓN LAS VERTIENTES SPA,-4283233.0,-514470.0,-4797703.0,-0.6071155209659296,-19416318.0,0.24709643713087107
P-1713,2. COSTO MATERIALES,0.0,RESERVA SAN FRANCISCO,EMPRESA NACIONAL DE CONSTRUCCIÓN LAS VERTIENTES SPA,-2358536.0,-595747.0,-2954283.0,-0.6071155209659296,-55849894.0,0.05289684166634229
P-1713,1. INGRESO,0.0,RESERVA SAN FRANCISCO,EMPRESA NACIONAL DE CONSTRUCCIÓN LAS VERTIENTES SPA,4823540.0,0.0,4823540.0,-0.6071155209659296,123509706.24103087,0.03905393468094561
P-1714,3. COSTO MANO DE OBRA,0.0,DEPARTAMENTAL II,CONSTRUCTORA FUERZA SUR DOS SPA,-8257826.0,-8044526.0,-16302352.0,0.01893329426985226,-7835147.0,2.080669577737342
P-1714,2. COSTO MATERIALES,0.0,DEPARTAMENTAL II,CONSTRUCTORA FUERZA SUR DOS SPA,-6486288.0,-31104108.0,-37590396.0,0.01893329426985226,-29967845.0,1.2543576623544335
P-1714,1. INGRESO,0.0,DEPARTAMENTAL II,CONSTRUCTORA FUERZA SUR DOS SPA,20583182.0,34349625.0,54932807.0,0.01893329426985226,61454685.567952126,0.8938749989902608
P-1715,3. COSTO MANO DE OBRA,0.0,CD LO ECHEVERS,QUEZADA Y BOETSCH,-16935839.0,0.0,-16935839.0,0.23825668164758632,-33061305.0,0.5122556112046999
P-1715,2. COSTO MATERIALES,0.0,CD LO ECHEVERS,QUEZADA Y BOETSCH,-27886461.0,0.0,-27886461.0,0.23825668164758632,-180244214.0,0.15471487478649384
P-1715,1. INGRESO,0.0,CD LO ECHEVERS,QUEZADA Y BOETSCH,58841737.0,0.0,58841737.0,0.23825668164758632,335709882.4289,0.1752755580928187
P-1716,3. COSTO MANO DE OBRA,0.0,CD ASTARA,ASTARA LOGÍSTICA CHILE SPA.,-21988771.0,-4333084.0,-26321855.0,0.5447373199926154,0.0,0.0
P-1716,2. COSTO MATERIALES,0.0,CD ASTARA,ASTARA LOGÍSTICA CHILE SPA.,-26152479.0,-4855555.0,-31008034.0,0.5447373199926154,-56794940.0,0.5459647285480009
P-1716,1. INGRESO,0.0,CD ASTARA,ASTARA LOGÍSTICA CHILE SPA.,114709839.0,11217217.0,125927056.0,0.5447373199926154,121165036.91180915,1.0393019241322636
