,Cta_Contable,Año,Mes,Fecha,Tipo_Comp,Num_Comp,Glosa,Primer_Analisis,Referencia,Num_Referencia,Debito,Credito,Comentario 
39,3101030-000,2021,1,1/21/21 0:00,CVT,335,"UF 68,51 x T/C $29.078,74",P-1644,76525290-3,10820,0,0,
40,3101030-000,2021,1,1/21/21 0:00,CVT,335,SEGÚN CONTRATO N°7000014797-00010 - HES N°1000298240,P-1644,76525290-3,10820,0,0,
41,3101030-000,2021,1,1/21/21 0:00,CVT,360,EP N°273-28-3 RETENCION - OBRA: 273 REMODELACION CLINICA BIO BIO,P-1628,96528140-1,10821,0,415712,
42,3101030-000,2021,1,1/21/21 0:00,CVT,360,"UF 14,30 x T/C $29.070,76923",P-1628,96528140-1,10821,0,0,
43,3101030-000,2021,1,1/21/21 0:00,CVT,360,ESPECIALIDAD: DETECCION - CCTV Y REMODELCIONES,P-1628,96528140-1,10821,0,0,
44,3101030-000,2021,1,1/21/21 0:00,CVT,361,RP N°4 - OBRA: S-0499 PROYECTO ABDON CIFUENTES,P-1652,76525290-3,10822,0,1806233,
45,3101030-000,2021,1,1/21/21 0:00,CVT,361,SEGÚN CONTRATO N° 7000016257-00010 - HES N°1000299063.,P-1652,76525290-3,10822,0,0,
46,3101030-000,2021,1,1/24/21 0:00,CVT,397,EP N° 1 - OBRA: S-0577 PROYECTO AXIONLOG,P-1666,76525290-3,10823,0,5612081,
47,3101030-000,2021,1,1/24/21 0:00,CVT,397,"UF 192,94 x T/C $29.087,18 DE FECHA 18-01-2021",P-1666,76525290-3,10823,0,0,
48,3101030-000,2021,1,1/24/21 0:00,CVT,397,SEGÚN CONTRATO N° 7000019813-00010 - HES N° 1000298611 - DETECCION Y EXTINCION DE INCENDIOS.,P-1666,76525290-3,10823,0,0,
49,3101030-000,2021,1,1/25/21 0:00,CVT,424,EP N°6 192-23-8 - OBRA: 192 EDUARDO DE LA BARRA. CD,P-1653,79877450-6,10824,0,2019481,
50,3101030-000,2021,1,1/25/21 0:00,CVT,424,SUB-CONTRATO Y CONTROL DE ACCESO,P-1653,79877450-6,10824,0,0,
51,3101030-000,2021,1,1/25/21 0:00,CVT,424,CODIGO COSTO: 407,P-1653,79877450-6,10824,0,0,
52,3101030-000,2021,1,1/25/21 0:00,CVT,443,EP N°6 - OBRA: 2020500000 EXEQUIEL FERNANDEZ,P-1654,76210676-0,10825,0,1473338,
53,3101030-000,2021,1,1/25/21 0:00,CVT,443,"UF 50,6378 x T/C $29.095,61 DE FECHA 21-01-2021",P-1654,76210676-0,10825,0,0,
54,3101030-000,2021,1,1/25/21 0:00,CVT,443,SEGÚN CONTRATO N° 316 - ESPECIALIDAD: CORRIENTES DEBILES,P-1654,76210676-0,10825,0,0,
55,3101030-000,2021,1,1/26/21 0:00,CVT,447,EP N°6 164-36-7 - OBRA: 164 ABATE MOLINA,P-1656,79877450-6,10826,0,2355500,
56,3101030-000,2021,1,1/26/21 0:00,CVT,447,"UF 80,9807 x T/C $29.087,18",P-1656,79877450-6,10826,0,0,
57,3101030-000,2021,1,1/26/21 0:00,CVT,447,SUB-CONTRATO: S.C.O.V. C.C.D.D.(CCTV-CITOFONIA-ROBO-INCENDIO-PORTERO Y OTROS),P-1656,79877450-6,10826,0,0,
58,3101030-000,2021,1,1/26/21 0:00,CVT,447,CODIGO COSTO: 407,P-1656,79877450-6,10826,0,0,
59,3101030-000,2021,1,1/27/21 0:00,CVT,460,EP N°3 REV.5 - OBRA:TW CAMBIO DE RACKS INFLAMABLE 1 Y 2,P-1665,76564630-8,10827,0,9724442,
60,3101030-000,2021,1,1/27/21 0:00,CVT,460,"UF 334,03 x T/C $29.112,48 DE FECHA 27-01-2021",P-1665,76564630-8,10827,0,0,
61,3101030-000,2021,1,1/27/21 0:00,CVT,460,DESARMADO Y REARMADO DE SISTEMA DE PROTECCION DE INCENDIO EN BODEGA INFLAMABLE 1 Y 2 - CD PERALILLO.,P-1665,76564630-8,10827,0,0,
62,3101030-000,2021,1,1/27/21 0:00,CVT,460,SEGÚN OC 13.876 - CENTRO DE COSTO 354 CD PERALILLO.,P-1665,76564630-8,10827,0,0,
63,3101030-000,2021,1,1/27/21 0:00,CVT,464,EP ADICIONAL N°1 - OBRA: TW CAMBIO DE RACKS INFAMABLE 1 Y 2.,P-1665,76564630-8,10828,0,0,
64,3101030-000,2021,1,1/27/21 0:00,CVT,464,"MODULO COMEDOR 20"" - CC 354 - UF 5,32",P-1665,76564630-8,10828,0,154878,
65,3101030-000,2021,1,1/27/21 0:00,CVT,464,"MODULO VESTIDOR 20"" - CC 354 - UF 5,32",P-1665,76564630-8,10828,0,154878,
66,3101030-000,2021,1,1/27/21 0:00,CVT,464,"MODULO BAÑO Y DUCHA - CC 354 - UF 9,861",P-1665,76564630-8,10828,0,287078,
67,3101030-000,2021,1,1/27/21 0:00,CVT,464,"MANTENCION Y ASEO - CC 354 - UF 29,887",P-1665,76564630-8,10828,0,870144,
68,3101030-000,2021,1,1/27/21 0:00,CVT,464,"UF 50,39 x T/C $29.112,48 DE FECHA 27-01-2021",P-1665,76564630-8,10828,0,0,
69,3101030-000,2021,1,1/27/21 0:00,CVT,464,DESARMADO Y REARMADO DE SIST.DE PROTECCION DE INCENDIO EN BODEGA INFLAMABLE,P-1665,76564630-8,10828,0,0,
70,3101030-000,2021,1,1/27/21 0:00,CVT,464,1 Y 2 . CD PERALILLO - SEGÚN OC 13.876 . CENTRO DE COSTO 354.,P-1665,76564630-8,10828,0,0,
71,3101030-000,2021,1,1/27/21 0:00,CVT,485,EP N° 2 - OBRA: CENTRO DE DIDTRIBUCION MK ETAPA II PCI,P-1664,76349664-3,10829,0,25940209,
72,3101030-000,2021,1,1/27/21 0:00,CVT,485,"UF 891,12 x T/c $29.109,67 DE FECHA 26-01-2021",P-1664,76349664-3,10829,0,0,
73,3101030-000,2021,1,1/29/21 0:00,CVT,945,EP N° ANTICIPO 25% - OBRA: MK II SEGURIDAD,P-1670,77137860-9,10845,0,41388652,
74,3101030-000,2021,1,1/29/21 0:00,CVT,945,SEGÚN OC 3202179 DE FECHA 29-01-2021.,P-1670,77137860-9,10845,0,0,
75,3101030-000,2021,1,1/29/21 0:00,CVT,945,ESPECIALIDAD: CCTV-INTRUSION.IFI-ACCESO VEHICULAR CDMK ETAPA II,P-1670,77137860-9,10845,0,0,
76,3101030-000,2021,1,1/29/21 0:00,CVT,964,EP N°13 - OBRA: EDIFICIO LA FLORIDA,P-1629,76207028-6,10846,0,907296,
77,3101030-000,2021,1,1/29/21 0:00,CVT,964,SUB-CONTRATO N°3599/0 - 238-25 PROV.E INST.DE CORRIENTE DEBILES.,P-1629,76207028-6,10846,0,0,
78,3101030-000,2021,1,1/29/21 0:00,CVT,964,N°DE ORDEN: 1238235990413 - CONTRATO: 238-25 - CODIGO DE OBRA: 0238.,P-1629,76207028-6,10846,0,0,
79,3101030-000,2021,2,2/2/21 0:00,CVT,40,EP N°138300-17 - OBRA: 0529 INACAP CASA CENTRAL,P-1649,96869030-2,10854,0,3242018,
80,3101030-000,2021,2,2/2/21 0:00,CVT,40,N° SUBCONTRATO: 138300 - PARTIDA(C.C.C.) 140300 INTRUSION 100%,P-1649,96869030-2,10854,0,0,
81,3101030-000,2021,2,2/2/21 0:00,CVT,40,ITEM(C.C.C.) 140300 - ESPECIALIDAD: CCTV-CONTROL DE ACCESO- DETECCION Y,P-1649,96869030-2,10854,0,0,
82,3101030-000,2021,2,2/2/21 0:00,CVT,40,EXTINSION- CONTROL CENTRALIZADO.,P-1649,96869030-2,10854,0,0,
83,3101030-000,2021,2,2/4/21 0:00,CVT,71,EP N° 7 164-36-8 - OBRA: 164 ABATE MOLINA,P-1656,79877450-6,10859,0,1369255,
84,3101030-000,2021,2,2/4/21 0:00,CVT,71,"UF 47,0060 x T/C $29.129,37",P-1656,79877450-6,10859,0,0,
85,3101030-000,2021,2,2/4/21 0:00,CVT,71,SUB-CONTRATO: S.C.O.V. C.C.D.D.(CCTV-CITOFONIA-ROBO-INCENDIO-PORTERO Y OTROS),P-1656,79877450-6,10859,0,0,
86,3101030-000,2021,2,2/4/21 0:00,CVT,71,CODIGO COSTO: 407,P-1656,79877450-6,10859,0,0,
87,3101030-000,2021,2,2/8/21 0:00,CVT,104,EP N°5 + ADICIONALES - OBRA: VIVIPRA CCDD,P-1658,79606430-7,10862,0,2023621,
88,3101030-000,2021,2,2/8/21 0:00,CVT,104,"UF 69,45 x T/C $29.137,81 DE FECHA 05-02-2021",P-1658,79606430-7,10862,0,0,
89,3101030-000,2021,2,2/8/21 0:00,CVT,104,SEGÚN OC 100001909 DE FECHA 05-02-2021,P-1658,79606430-7,10862,0,0,
90,3101030-000,2021,2,2/9/21 0:00,CVT,120,EP N°27 - OBRA: S-0333 EDIFICIO NC 3300,P-1592,76525290-3,10863,0,11340033,
91,3101030-000,2021,2,2/9/21 0:00,CVT,120,"UF 389,60 x T/C $29.106,86",P-1592,76525290-3,10863,0,0,
92,3101030-000,2021,2,2/9/21 0:00,CVT,120,SEGÚN CONTRATO N°8000033933-00010 - HES N°1000299801 - CONTRALADORA DE ACCESO.,P-1592,76525290-3,10863,0,0,
93,3101030-000,2021,2,2/13/21 0:00,CVT,198,EP N°2 - OBRA: S-0577 PROYECTO AXIONLOG,P-1666,76525290-3,10877,0,3072599,
94,3101030-000,2021,2,2/13/21 0:00,CVT,198,"UF 105,42 x T/C $29.146,26 DE FECHA 08-02-2021",P-1666,76525290-3,10877,0,0,
95,3101030-000,2021,2,2/13/21 0:00,CVT,198,SEGÚN CONTRATO N°7000019813-00010 - HES N°1000302339.,P-1666,76525290-3,10877,0,0,
96,3101030-000,2021,2,2/15/21 0:00,CVT,241,EP N° ADICIONAL 4 - OBRA: CENTRO DE DISTRIBUCION MK ETAPA II PCI,P-1664,76349664-3,10880,0,906725,
97,3101030-000,2021,2,2/15/21 0:00,CVT,241,"UF 31,06 x T/C $29.192,68 DE FECHA 15-02-2021",P-1664,76349664-3,10880,0,0,
98,3101030-000,2021,2,2/15/21 0:00,CVT,241,CODIGO DE OBRA: 8860,P-1664,76349664-3,10880,0,0,
99,3101030-000,2021,2,2/16/21 0:00,CVT,257,EP N°FINIQUITO CONTRATO DE EJECUCION DE OBRAS,P-1592,76525290-3,10881,0,22137821,
100,3101030-000,2021,2,2/16/21 0:00,CVT,257,DEL CONTRATO N°7000006969 - OBRA: S-0333 PROYECTO EDIFICIO NC 3300.,P-1592,76525290-3,10881,0,0,
101,3101030-000,2021,2,2/16/21 0:00,CVT,257,"UF 764,31 x T/C $29.199,96 DE fECHA 16-02-2021.",P-1592,76525290-3,10881,0,0,
102,3101030-000,2021,2,2/16/21 0:00,CVT,258,EP N°0010 - OBRA: CF4028-LYON LUTERANO,P-1639,76071313-9,10882,0,3094908,
103,3101030-000,2021,2,2/16/21 0:00,CVT,258,"UF 106,0958415 x T/C $29.170,87",P-1639,76071313-9,10882,0,0,
104,3101030-000,2021,2,2/16/21 0:00,CVT,258,SUBCONTRATO: 027-SC CORRIENTES DEBILES - CONTRATO N°CF4028-027-0010.,P-1639,76071313-9,10882,0,0,
105,3101030-000,2021,2,2/17/21 0:00,CVT,281,EP N°FINIQUITO CONTRATO DE EJECUCION DE OBRAS,P-1592,76525290-3,804,22137821,0,
106,3101030-000,2021,2,2/17/21 0:00,CVT,281,DEL CONTRATO N°7000006969 - OBRA: S-0333 PROYECTO EDIFICIO NC 3300.,P-1592,76525290-3,804,0,0,
107,3101030-000,2021,2,2/17/21 0:00,CVT,281,"UF 764,31 x T/C $29.199,96 DE fECHA 16-02-2021.",P-1592,76525290-3,804,0,0,
108,3101030-000,2021,2,2/17/21 0:00,CVT,282,EP N°FINIQUITO CONTRATO DE EJECUCION DE OBRAS,P-1592,76525290-3,10884,0,22317821,
109,3101030-000,2021,2,2/17/21 0:00,CVT,282,DEL CONTRATO N°7000006969 - OBRA: S-0333 PROYECTO EDIFICIO NC 3300.,P-1592,76525290-3,10884,0,0,
110,3101030-000,2021,2,2/17/21 0:00,CVT,282,"UF 764,31 x T/C $29.199,96 DE FECHA 16-02-2021",P-1592,76525290-3,10884,0,0,
111,3101030-000,2021,2,2/17/21 0:00,CVT,283,EP N°082-35-9 - OBRA: 082 EDIFICIO COLON,P-1638,78134800-7,10885,0,2151557,
112,3101030-000,2021,2,2/17/21 0:00,CVT,283,"UF 73,7754 x T/C $29.163,61",P-1638,78134800-7,10885,0,0,
113,3101030-000,2021,2,2/17/21 0:00,CVT,283,SEGÚN SUB-CONTRATO: 082-35 - ESPECIALIDAD: CORRIENTES DEBILES - CODIGO: 082.,P-1638,78134800-7,10885,0,0,
114,3101030-000,2021,2,2/18/21 0:00,CVT,311,EP N°DEVOLUCION RETENCION - OBRA: INTERBAKE II,P-1657,78544420-5,10886,0,6724012,
115,3101030-000,2021,2,2/18/21 0:00,CVT,311,"UF 230,16 x T/C $29.214,51 DE FECHA 18-02-2021",P-1657,78544420-5,10886,0,0,
116,3101030-000,2021,2,2/18/21 0:00,CVT,311,SEGÚN OC N°7.046 RED PERIMETRAL Y EXTINCION EXTERIOR,P-1657,78544420-5,10886,0,0,
117,3101030-000,2021,2,2/18/21 0:00,CVT,311,- C}GABINETES Y GASTOS OP.,P-1657,78544420-5,10886,0,0,
118,3101030-000,2021,2,2/18/21 0:00,CVT,312,EP N°1 - OBRA: OFICINAS CUATRECASAS,S-1601,76321709-4,10887,0,7470000,
119,3101030-000,2021,2,2/18/21 0:00,CVT,312,SEGÚN OC N°019 DE FECHA 18-01-2021 - EJECUCION DE PROY.CONTRA INCENDIO.,S-1601,76321709-4,10887,0,0,
120,3101030-000,2021,2,2/22/21 0:00,CVT,404,EP N°1 - OBRA: EDIFICIO SAN VICENTE DE PAUL 5855,P-1661,78056380-K,10925,0,1867283,
121,3101030-000,2021,2,2/22/21 0:00,CVT,404,"UF 63,92 x T/C $29.214,51",P-1661,78056380-K,10925,0,0,
122,3101030-000,2021,2,2/22/21 0:00,CVT,404,CENTRO DE COSTO: 019 - PROV.E INST.CCTV-CITOFONIA-ALARMA CONTAR ROBO Y,P-1661,78056380-K,10925,0,0,
123,3101030-000,2021,2,2/22/21 0:00,CVT,404,INTRUSION - CORRIENTE DEBILES.,P-1661,78056380-K,10925,0,0,
124,3101030-000,2021,2,2/22/21 0:00,CVT,405,EP N° ANTICIPO 42-1 - OBRA: O059-BARRIO PARQUE STGO.T08/T09,P-1671,76541270-6,10926,0,20570552,
125,3101030-000,2021,2,2/22/21 0:00,CVT,405,"UF 705,35 x T/C $29.163,61 DE FECHA 11-02-2021",P-1671,76541270-6,10926,0,0,
126,3101030-000,2021,2,2/22/21 0:00,CVT,405,CONTRATO N O059-42 - ESPECIALIDAD: CORRIENTES DEBILES,P-1671,76541270-6,10926,0,0,
127,3101030-000,2021,2,2/22/21 0:00,CVT,411,EP N°10432-13 - OBRA: 104-ECOSANTIAGO,P-1615,76690901-9,10927,0,5823690,
128,3101030-000,2021,2,2/22/21 0:00,CVT,411,"UF 199,7401 x T/C $29.156,34 DE FECHA 10-02-2021",P-1615,76690901-9,10927,0,0,
129,3101030-000,2021,2,2/22/21 0:00,CVT,411,SUB.CONTRATO: PROV.E INST.DE CORRIENTES DEBILES - CENTRO DE COSTO 104.,P-1615,76690901-9,10927,0,0,
130,3101030-000,2021,2,2/22/21 0:00,CVT,412,EP N° 13 - OBRA: S-0410 MIRADOR SAN CRISTOBAL,P-1644,76525290-3,10928,0,3229372,
131,3101030-000,2021,2,2/22/21 0:00,CVT,412,"UF 110,54 x T/C $29.214,51",P-1644,76525290-3,10928,0,0,
132,3101030-000,2021,2,2/22/21 0:00,CVT,412,SEGÚN CONTRATO N°7000014797-00010 - HES N°1000304253.,P-1644,76525290-3,10928,0,0,
133,3101030-000,2021,2,2/22/21 0:00,CVT,413,EP N°7 192-23-9 - OBRA: 192 EDUARDO DE LA BARRA,P-1653,79877450-6,10929,0,4102471,
134,3101030-000,2021,2,2/22/21 0:00,CVT,413,SUB-CONTRATO: INST.SEGURIDAD Y CONTROL DE ACCESO,P-1653,79877450-6,10929,0,0,
135,3101030-000,2021,2,2/22/21 0:00,CVT,413,CODIGO COSTO: 407,P-1653,79877450-6,10929,0,0,
136,3101030-000,2021,2,2/23/21 0:00,CVT,452,EP N°1 - OBRA: 135 LOS TRES ANTONIOS,P-1645,77710830-1,10939,0,1280594,
137,3101030-000,2021,2,2/23/21 0:00,CVT,452,SEGÚN CONTRATO N°135-18 DE FECHA 12-08-2019,P-1645,77710830-1,10939,0,0,
138,3101030-000,2021,2,2/24/21 0:00,CVT,462,EP ADICIONAL . OBRA: 257 CLINICA BIO BIO,P-1626,96528140-1,10942,0,491245,
139,3101030-000,2021,2,2/24/21 0:00,CVT,462,"UF 16,79 x T/C $29.258,21 DE FECHA 24-02-2021",P-1626,96528140-1,10942,0,0,
140,3101030-000,2021,2,2/24/21 0:00,CVT,462,SEGÚN OC 273-398 - SUBCONTRATO DE DETECCION Y EXTINCION DE INCENDIO,P-1626,96528140-1,10942,0,0,
141,3101030-000,2021,2,2/24/21 0:00,CVT,462,"ROCIADORES EN PASILLO BODEGAS SUBTERRANEO M1,",P-1626,96528140-1,10942,0,0,
142,3101030-000,2021,2,2/25/21 0:00,CVT,494,EP N°7 - OBRA: 2020500000 EXEQUIEL FERNANDEZ,P-1654,76210676-0,10943,0,2739715,
143,3101030-000,2021,2,2/25/21 0:00,CVT,494,"UF 93,6392 x T/C $29.258,21 DE FECHA 24-02-2021",P-1654,76210676-0,10943,0,0,
144,3101030-000,2021,2,2/25/21 0:00,CVT,494,SEGÚN CONTRATO N°316 - ESPECIALIDAD CORRIENTE DEBILES.,P-1654,76210676-0,10943,0,0,
145,3101030-000,2021,2,2/25/21 0:00,CVT,501,EP N°4 REV.5 - OBRA: TW CAMBIO DE RACKS INFLAMABLE 1 Y 2,P-1665,76564630-8,10944,0,21425565,
146,3101030-000,2021,2,2/25/21 0:00,CVT,501,"UF 732,11 x T/C $29.265,50 DE FECHA 25-02-2021",P-1665,76564630-8,10944,0,0,
147,3101030-000,2021,2,2/25/21 0:00,CVT,501,DESARMADO Y REARMADO DE SISTEMA DE PROTECCION DE INCENDIO EN BODEGA INFLAMABLE 1,P-1665,76564630-8,10944,0,0,
148,3101030-000,2021,2,2/25/21 0:00,CVT,501,SEGÚN OC 13.876 - CENTRO DE COSTO 354 CD PERALILLO.,P-1665,76564630-8,10944,0,0,
149,3101030-000,2021,2,2/25/21 0:00,CVT,523,EP N°17 - OBRA: S-0432 PROYECTO PLAZA EGAÑA,P-1611,76525290-3,10946,0,684760,
150,3101030-000,2021,2,2/25/21 0:00,CVT,523,SEGÚN CONTRATO N°7000010309-00040 - HES N°1000305465.,P-1611,76525290-3,10946,0,0,
151,3101030-000,2021,2,2/26/21 0:00,CVT,539,EP N°3 - OBRA: CENTRO DISTRIBUCION MK ETAPA II PCI,P-1664,76349664-3,10949,0,24102337,
152,3101030-000,2021,2,2/26/21 0:00,CVT,539,"UF 823,37 x T/C $29.272,79 DE FECHA 26-02-2021.",P-1664,76349664-3,10949,0,0,
153,3101030-000,2021,2,2/26/21 0:00,CVT,582,EP ADICIONAL - NOTA DE CAMBIO N°2 - OBRA: CENTRO DE DISTRIBUCION MK ETAPA II PCI,P-1664,76349664-3,10952,0,2890981,
154,3101030-000,2021,2,2/26/21 0:00,CVT,582,"UF 98,76 x T/C $29.272,79 DE FECHA 26 -02-2021",P-1664,76349664-3,10952,0,0,
155,3101030-000,2021,2,2/26/21 0:00,CVT,582,CODIGO DE OBRA: 8860,P-1664,76349664-3,10952,0,0,
156,3101030-000,2021,3,3/2/21 0:00,CVT,33,EP N° 163-36-7 - OBRA: 163 CORINTO,P-1642,96522120-4,10953,0,1700406,
157,3101030-000,2021,3,3/2/21 0:00,CVT,33,SEGÚN CONTRATO N° 163-36 DE FECHA 10-06-2020 -,P-1642,96522120-4,10953,0,0,
158,3101030-000,2021,3,3/2/21 0:00,CVT,33,ESPECILAIDAD: CORRIENTE DEBILES.,P-1642,96522120-4,10953,0,0,
159,3101030-000,2021,3,3/3/21 0:00,CVT,48,EP N°138300-19 - OBRA: 0529 INACAP CASA CENTRAL,P-1649,96869030-2,10959,0,21894903,
160,3101030-000,2021,3,3/3/21 0:00,CVT,48,N° SUBCONTRATO: 138300 - PARTIDA(C.C.C.) 140300 INTRUSION 100%,P-1649,96869030-2,10959,0,0,
161,3101030-000,2021,3,3/3/21 0:00,CVT,48,ITEM(C.C.C.) 140300 - ESPECIALIDAD: CCTV- CONTOL DE ACCESO-DETECCION Y,P-1648,96869030-2,10959,0,0,
162,3101030-000,2021,3,3/3/21 0:00,CVT,48,EXTINSION-CONTROL CENTRALIZADO.,P-1648,96869030-2,10959,0,0,
163,3101030-000,2021,3,3/4/21 0:00,CVT,70,EP N°104-32-14 - OBRA: 104-ECOSANTIAGO,P-1615,76690901-9,10967,0,5812033,
164,3101030-000,2021,3,3/4/21 0:00,CVT,70,"UF 198,3001 x T/C $29.309,28 DE FECHA 03-03-2021",P-1615,76690901-9,10967,0,0,
165,3101030-000,2021,3,3/4/21 0:00,CVT,70,SUB-CONTRATO:PROV.E INST.DE CORRIEBTES DEBILES - CENTRO DE COSTO 104,P-1615,76690901-9,10967,0,0,
166,3101030-000,2021,3,3/6/21 0:00,CVT,94,EP N°3 - OBRA: EDIFICIO SAN VICENTE DE PAUL 5855,P-1661,78056380-K,10972,0,2472506,
167,3101030-000,2021,3,3/6/21 0:00,CVT,94,"UF 84,63 x T/C $29.214,51",P-1661,78056380-K,10972,0,0,
