,Codigo_proyecto,Cta_Contable,Año,Mes,Fecha,Tipo_Comp,Num_Comp,Glosa,Primer_Analisis,Referencia,Debito,Credito,Num_Referencia,Debito_2,Credito_2,TOTAL,Tipo_cuenta
43,P-1688,3101030-000,2023,1,2023-01-17T00:00:00-03:00,CVT,495,EP N° OBRA CP6026 - Edificio Suiza CCDD,P-1688,76071313-9,0,4432592,13316,0,4432592,4432592,INGRESO
44,P-1688,3101030-000,2023,1,2023-01-17T00:00:00-03:00,CVT,495,CP6026-029-0004 OBRA SUIZA,P-1688,76071313-9,0,0,13316,0,0,0,INGRESO
45,P-1688,3101030-000,2023,1,2023-01-17T00:00:00-03:00,CVT,495,ESPECIALIDAD: CORRIENTES DEBILES,P-1688,76071313-9,0,0,13316,0,0,0,INGRESO
46,P-1682,3101030-000,2023,1,2023-01-17T00:00:00-03:00,CVT,553,EP 2-15-6 OBRA 176 PLAZA CEPPI,P-1682,77594729-2,0,9525963,13317,0,9525963,9525963,INGRESO
47,P-1682,3101030-000,2023,1,2023-01-17T00:00:00-03:00,CVT,553,"ESPECIALIDAD CORRIENTES DEBILES -
TELECOMUNICACIONES",P-1682,77594729-2,0,0,13317,0,0,0,INGRESO
48,P-1682,3101030-000,2023,1,2023-01-17T00:00:00-03:00,CVT,553,"FORMA DE PAGO: CREDITO
 CONTRATO 2-15",P-1682,77594729-2,0,0,13317,0,0,0,INGRESO
49,P-1694,3101030-000,2023,1,2023-01-19T00:00:00-03:00,CVT,675,EP N° 112-19-4 OBRA ECO HUEMUL,P-1694,76690901-9,0,6008135,13318,0,6008135,6008135,INGRESO
50,P-1694,3101030-000,2023,1,2023-01-19T00:00:00-03:00,CVT,675,SUB-CONTRATO: PROV.E INST. DE CORRIENTES DEBILES-CENTRO DE COSTO 112,P-1694,76690901-9,0,0,13318,0,0,0,INGRESO
51,P-1694,3101030-000,2023,1,2023-01-19T00:00:00-03:00,CVT,675,RETENCIONES 5% 11.36 UF,P-1694,76690901-9,0,0,13318,0,0,0,INGRESO
52,P-1695,3101030-000,2023,1,2023-01-19T00:00:00-03:00,CVT,676,EP Anticipo 299-49-5 Obra 299 Edificio HOY Estoril,P-1695,84102200-9,0,1841513,13319,0,1841513,1841513,INGRESO
53,P-1695,3101030-000,2023,1,2023-01-19T00:00:00-03:00,CVT,676,"Segun contrato N° ECBI-299-49 DE FECHA 11-02-2022
",P-1695,84102200-9,0,0,13319,0,0,0,INGRESO
54,P-1695,3101030-000,2023,1,2023-01-19T00:00:00-03:00,CVT,676,Por la instalacion de CCDD,P-1695,84102200-9,0,0,13319,0,0,0,INGRESO
55,P-1704,3101030-000,2023,1,2023-01-23T00:00:00-03:00,CVT,834,EP N° 7(Adicional) OBRA Interiorismo MELI,P-1704,76525290-3,0,3408484,13347,0,3408484,3408484,INGRESO
56,P-1704,3101030-000,2023,1,2023-01-23T00:00:00-03:00,CVT,834,"HES 1000441388 CONTRATO N° 7000026197 DE FECHA 01-08-2022 DETECCION Y
EXTINCION DE INCENDIOS",P-1704,76525290-3,0,0,13347,0,0,0,INGRESO
57,P-1704,3101030-000,2023,1,2023-01-23T00:00:00-03:00,CVT,834,"UF 96,7600 uf T/C 35.226,17",P-1704,76525290-3,0,0,13347,0,0,0,INGRESO
58,P-1703,3101030-000,2023,1,2023-01-23T00:00:00-03:00,CVT,836,EP 5  OBRA SANTA VICTORIA 99,P-1703,78056380-K,0,5843137,13348,0,5843137,5843137,INGRESO
59,P-1703,3101030-000,2023,1,2023-01-23T00:00:00-03:00,CVT,836,CONTRATO CCTV CITOFONIA ALARMA CONTRA ROBO,P-1703,78056380-K,0,0,13348,0,0,0,INGRESO
60,P-1703,3101030-000,2023,1,2023-01-23T00:00:00-03:00,CVT,836,"DETECCION Y ALARMA CONTRA INCENDIO
",P-1703,78056380-K,0,0,13348,0,0,0,INGRESO
61,P-1680,3101030-000,2023,1,2023-01-23T00:00:00-03:00,CVT,841,EP N°7 - OBRA:EDIFICIO NUEVA UNO,P-1680,91300000-5,0,311122,13351,0,311122,311122,INGRESO
62,P-1680,3101030-000,2023,1,2023-01-23T00:00:00-03:00,CVT,841,SEGÚN OC 9000010356 HES 1001180378,P-1680,91300000-5,0,0,13351,0,0,0,INGRESO
63,P-1680,3101030-000,2023,1,2023-01-23T00:00:00-03:00,CVT,841,"CODIGO DE OBRA 10022361 /ESPECIALIDAD: CORRIENTES
DEBILES",P-1680,91300000-5,0,0,13351,0,0,0,INGRESO
64,P-1680,3101030-000,2023,1,2023-01-23T00:00:00-03:00,CVT,842,EP N°7 - OBRA:EDIFICIO NUEVA UNO,P-1680,91300000-5,0,5092704,13352,0,5092704,5092704,INGRESO
65,P-1680,3101030-000,2023,1,2023-01-23T00:00:00-03:00,CVT,842,SEGÚN OC 9000010357 HES 1001174208,P-1680,91300000-5,0,0,13352,0,0,0,INGRESO
66,P-1680,3101030-000,2023,1,2023-01-23T00:00:00-03:00,CVT,842,CODIGO DE OBRA 10022361 /ESPECIALIDAD: Telecomunicaciones,P-1680,91300000-5,0,0,13352,0,0,0,INGRESO
67,P-1716,3101030-000,2023,1,2023-01-24T00:00:00-03:00,CVT,861,EP 2 OBRA ASTARA LOGISTICA CHILE SPA,P-1716,76040171-4,0,24830892,13357,0,24830892,24830892,INGRESO
68,P-1716,3101030-000,2023,1,2023-01-24T00:00:00-03:00,CVT,861,"UF 704,1500 X T/C 35.263.64",P-1716,76040171-4,0,0,13357,0,0,0,INGRESO
69,P-1697,3101030-000,2023,1,2023-01-25T00:00:00-03:00,CVT,904,EP 18000-29-7 OBRA:18000 ESTOCOLMO,P-1697,96897350-9,0,1128066,13358,0,1128066,1128066,INGRESO
70,P-1697,3101030-000,2023,1,2023-01-25T00:00:00-03:00,CVT,904,UF 31.9864X TC 35.267.04,P-1697,96897350-9,0,0,13358,0,0,0,INGRESO
71,P-1697,3101030-000,2023,1,2023-01-25T00:00:00-03:00,CVT,904,N° DE CONTRATO 18000-29 SUBCONTRATO TELECOMUNICACIONES,P-1697,96897350-9,0,0,13358,0,0,0,INGRESO
72,P-1697,3101030-000,2023,1,2023-01-25T00:00:00-03:00,CVT,908,"UF 157,6277 X T/C 34.852,33",P-1697,96897350-9,0,0,13359,0,0,0,INGRESO
73,P-1697,3101030-000,2023,1,2023-01-25T00:00:00-03:00,CVT,908,N° DE CONTRATO 18000-31 SUBCONTRATO CCDD,P-1697,96897350-9,0,0,13359,0,0,0,INGRESO
74,P-1697,3101030-000,2023,1,2023-01-25T00:00:00-03:00,CVT,908,EP 18000-29-7 OBRA:18000 ESTOCOLMO,P-1697,96897350-9,0,1553929,13359,0,1553929,1553929,INGRESO
75,P-1704,3101030-000,2023,1,2023-01-25T00:00:00-03:00,CVT,922,EP N° 8(Avance) OBRA Interiorismo MELI,P-1704,76525290-3,0,25789965,13360,0,25789965,25789965,INGRESO
76,P-1704,3101030-000,2023,1,2023-01-25T00:00:00-03:00,CVT,922,"HES Nº 1000425585  UF 1.152,32X T/C 35.077,19",P-1704,76525290-3,0,0,13360,0,0,0,INGRESO
77,P-1704,3101030-000,2023,1,2023-01-25T00:00:00-03:00,CVT,922,CONTRATO N° 7000026197 DE FECHA 01-08-2022 DETECCION Y EXTINCION DE INCENDIOS,P-1704,76525290-3,0,0,13360,0,0,0,INGRESO
78,P-1704,3101030-000,2023,1,2023-01-25T00:00:00-03:00,CVT,924,EP N° 8 (Adicional) OBRA Interiorismo MELI,P-1704,76525290-3,0,3410791,13361,0,3410791,3410791,INGRESO
79,P-1704,3101030-000,2023,1,2023-01-25T00:00:00-03:00,CVT,924,"HES Nº 1000442982  UF  96.7600 X T/C 35.077,19",P-1704,76525290-3,0,0,13361,0,0,0,INGRESO
80,P-1704,3101030-000,2023,1,2023-01-25T00:00:00-03:00,CVT,924,CONTRATO N° 7000026197 DE FECHA 01-08-2022 DETECCION Y EXTINCION DE INCENDIOS,P-1704,76525290-3,0,0,13361,0,0,0,INGRESO
81,P-1714,3101030-000,2023,1,2023-01-25T00:00:00-03:00,CVT,926,EP N° 6 OBRA DEPARTAMENTAL II,P-1714,77576314-0,0,9276834,13362,0,9276834,9276834,INGRESO
82,P-1714,3101030-000,2023,1,2023-01-25T00:00:00-03:00,CVT,926,"UF 263,02 x T/C 35.270,45",P-1714,77576314-0,0,0,13362,0,0,0,INGRESO
83,P-1696,3101030-000,2023,1,2023-01-25T00:00:00-03:00,CVT,927,EP N° 07 - OBRA: EDIFICIO SANTA VICTORIA,P-1696,96812990-2,0,15479233,13363,0,15479233,15479233,INGRESO
84,P-1696,3101030-000,2023,1,2023-01-25T00:00:00-03:00,CVT,927,"UF 438,9150 X T/C 35.267,04 DEL DIA 25-01-2023",P-1696,96812990-2,0,0,13363,0,0,0,INGRESO
85,P-1696,3101030-000,2023,1,2023-01-25T00:00:00-03:00,CVT,927,CCDD Y TELECOMUNICACIONES /CONTRATO N° VIC-59 DE FECHA 01-03-2022.,P-1696,96812990-2,0,0,13363,0,0,0,INGRESO
86,P-1722,3101030-000,2023,1,2023-01-26T00:00:00-03:00,CVT,998,EP 115-19-1 ANTICIPO OBRA ECO CERRILLO,P-1722,76690901-9,0,56785425,13378,0,56785425,56785425,INGRESO
87,P-1722,3101030-000,2023,1,2023-01-26T00:00:00-03:00,CVT,998,INSTALACIONES CCDD Y TELECOMUNICACIONES,P-1722,76690901-9,0,0,13378,0,0,0,INGRESO
88,P-1722,3101030-000,2023,1,2023-01-26T00:00:00-03:00,CVT,998,"UF 1.610,0000 X T/C 35.270,45",P-1722,76690901-9,0,0,13378,0,0,0,INGRESO
89,P-1692,3101030-000,2023,1,2023-01-27T00:00:00-03:00,CVT,1073,Contrato 7000024261-00010 CCDD Y TELECOMUNICACIONES,P-1692,76525290-3,0,0,13379,0,0,0,INGRESO
90,P-1692,3101030-000,2023,1,2023-01-27T00:00:00-03:00,CVT,1073,Ep N°9 Obra Jose Perez Cotapos,P-1692,76525290-3,0,9807899,13379,0,9807899,9807899,INGRESO
91,P-1718,3101030-000,2023,1,2023-01-27T00:00:00-03:00,CVT,1080,EEPP N° 2 OBRA Viña Outlet Park Etapa 4 PATIO DE COMIDA,P-1718,76525290-3,0,18458292,13380,0,18458292,18458292,INGRESO
92,P-1718,3101030-000,2023,1,2023-01-27T00:00:00-03:00,CVT,1080,Contrato N° 7000028408 DE FECHA 18 DE NOVIEMBRE 2022,P-1718,76525290-3,0,0,13380,0,0,0,INGRESO
93,P-1718,3101030-000,2023,1,2023-01-27T00:00:00-03:00,CVT,1080,"523,6900 X TC 35.246,60",P-1718,76525290-3,0,0,13380,0,0,0,INGRESO
94,P-1721,3101030-000,2023,1,2023-01-31T00:00:00-03:00,AJC,1686,VENTAS DE PROYECTO,P-1721,P-1721,7184888,0,,7184888,0,-7184888,INGRESO
95,P-1682,3101030-000,2023,1,2023-01-31T00:00:00-03:00,CVT,1224,EP 2-15-8 OBRA 176 PLAZA CEPPI,P-1682,77594729-2,0,4213490,13388,0,4213490,4213490,INGRESO
96,P-1721,3101030-000,2023,1,2023-01-31T00:00:00-03:00,AJC,1686,VENTAS DE PROYECTO,P-1721,P-1721,0,7184888,,0,7184888,7184888,INGRESO
97,P-1682,3101030-000,2023,1,2023-01-31T00:00:00-03:00,CVT,1224,"ESPECIALIDAD CORRIENTES DEBILES -
TELECOMUNICACIONES",P-1682,77594729-2,0,0,13388,0,0,0,INGRESO
98,P-1682,3101030-000,2023,1,2023-01-31T00:00:00-03:00,CVT,1224,"FORMA DE PAGO: CREDITO
 CONTRATO 2-15",P-1682,77594729-2,0,0,13388,0,0,0,INGRESO
99,P-1721,3101030-000,2023,1,2023-01-31T00:00:00-03:00,CVT,1225,EP 1 OBRA Stripcenter Pausa Pasteur,P-1721,77209276-8,0,7184888,13389,0,7184888,7184888,INGRESO
100,P-1721,3101030-000,2023,1,2023-01-31T00:00:00-03:00,CVT,1225,"UF 203,61 X T/C 35.287,50",P-1721,77209276-8,0,0,13389,0,0,0,INGRESO
101,P-1715,3101030-000,2023,1,2023-01-31T00:00:00-03:00,CVT,1227,"EP 1 Obra: ""Centro de Distribución Lo Echevers""",P-1715,96602670-7,0,10094342,13390,0,10094342,10094342,INGRESO
102,P-1715,3101030-000,2023,1,2023-01-31T00:00:00-03:00,CVT,1227,"UF 35.287,50 X T/C 35.287,50",P-1715,96602670-7,0,0,13390,0,0,0,INGRESO
103,P-1645,3101030-000,2023,1,2023-01-31T00:00:00-03:00,CVT,1247,EP N° FINIQUITO OBRA: LOS TRES ANTONIOS,P-1645,76104460-5,0,963564,13396,0,963564,963564,INGRESO
104,P-1722,3101030-000,2023,1,2023-01-31T00:00:00-03:00,CVT,1249,EP 115-19-1 ANTICIPO OBRA ECO CERRILLO,P-1722,76690901-9,56785425,0,1019,56785425,0,-56785425,INGRESO
105,P-1722,3101030-000,2023,1,2023-01-31T00:00:00-03:00,CVT,1249,INSTALACIONES CCDD Y TELECOMUNICACIONES,P-1722,76690901-9,0,0,1019,0,0,0,INGRESO
106,P-1722,3101030-000,2023,1,2023-01-31T00:00:00-03:00,CVT,1249,"UF 1.610,0000 X T/C 35.270,45",P-1722,76690901-9,0,0,1019,0,0,0,INGRESO
107,P-1722,3101030-000,2023,1,2023-01-31T00:00:00-03:00,CVT,1250,EP 115-19-1 ANTICIPO OBRA ECO CERRILLO,P-1722,76690901-9,0,56785425,13397,0,56785425,56785425,INGRESO
108,P-1722,3101030-000,2023,1,2023-01-31T00:00:00-03:00,CVT,1250,INSTALACIONES CCDD Y TELECOMUNICACIONES,P-1722,76690901-9,0,0,13397,0,0,0,INGRESO
109,P-1722,3101030-000,2023,1,2023-01-31T00:00:00-03:00,CVT,1250,"UF 1.610,0000 X T/C 35.270,45",P-1722,76690901-9,0,0,13397,0,0,0,INGRESO
110,P-1690,3101030-000,2023,1,2023-01-31T00:00:00-03:00,CVT,1287,EP # 10,P-1690,76210676-0,0,4480923,13398,0,4480923,4480923,INGRESO
111,P-1690,3101030-000,2023,1,2023-01-31T00:00:00-03:00,CVT,1287,Nombre de Obra : Ongolmo 7290 Contrato # 360,P-1690,76210676-0,0,0,13398,0,0,0,INGRESO
112,P-1690,3101030-000,2023,1,2023-01-31T00:00:00-03:00,CVT,1287,"UF 126.9833 X T/C 35.287,50",P-1690,76210676-0,0,0,13398,0,0,0,INGRESO
113,P-1699,3101030-000,2023,1,2023-01-31T00:00:00-03:00,CVT,1614,EP 1 Villapanamericana,P-1699,87717500-6,0,4493429,13402,0,4493429,4493429,INGRESO
114,P-1721,3101030-000,2023,1,2023-01-31T00:00:00-03:00,CVT,1676,EP 1 OBRA Stripcenter Pausa Pasteur,P-1721,77209276-8,7184888,0,13389,7184888,0,-7184888,INGRESO
115,P-1721,3101030-000,2023,1,2023-01-31T00:00:00-03:00,CVT,1676,"UF 203,61 X T/C 35.287,50",P-1721,77209276-8,0,0,13389,0,0,0,INGRESO
116,P-1721,3101030-000,2023,1,2023-01-31T00:00:00-03:00,CVT,1677,EP 1 OBRA Stripcenter Pausa Pasteur,P-1721,77209276-8,0,7184888,13389,0,7184888,7184888,INGRESO
117,P-1721,3101030-000,2023,1,2023-01-31T00:00:00-03:00,CVT,1677,"UF 203,61 X T/C 35.287,50",P-1721,77209276-8,0,0,13389,0,0,0,INGRESO
118,P-1709,3101030-000,2023,2,2023-02-01T00:00:00-03:00,CVT,18," EP N°03, obra CC Paseo San Pedro",P-1709,76525290-3,0,4786203,13399,0,4786203,4786203,INGRESO
119,P-1700,3101030-000,2023,2,2023-02-01T00:00:00-03:00,CVT,19,EP N° 9 OBRA: NAVE 28000 BUENAVENTURA,P-1700,76525290-3,0,2647365,13400,0,2647365,2647365,INGRESO
120,P-1700,3101030-000,2023,2,2023-02-01T00:00:00-03:00,CVT,19,"UF 75.0300 X T/C 35.284,09",P-1700,76525290-3,0,0,13400,0,0,0,INGRESO
121,P-1700,3101030-000,2023,2,2023-02-01T00:00:00-03:00,CVT,19,CONTRATO N° 7000025807-00010 . DETECCION Y EXTINCION DE INCENDIOS,P-1700,76525290-3,0,0,13400,0,0,0,INGRESO
122,P-1701,3101030-000,2023,2,2023-02-08T00:00:00-03:00,CVT,163,EP N° 089-36-10 OBRA 089 EDIFICIO ZENTENO,P-1701,78134800-7,0,1184888,13417,0,1184888,1184888,INGRESO
123,P-1701,3101030-000,2023,2,2023-02-08T00:00:00-03:00,CVT,163,"UF 33,5684 X T/C 35.297,73000",P-1701,78134800-7,0,0,13417,0,0,0,INGRESO
124,P-1701,3101030-000,2023,2,2023-02-08T00:00:00-03:00,CVT,163,SEGUN CONTRATO No 089-36 DE FECHA 29-04-2022 ESPECIALIDAD COORIENTE DEBILES,P-1701,78134800-7,0,0,13417,0,0,0,INGRESO
125,P-1680,3101030-000,2023,2,2023-02-09T00:00:00-03:00,CVT,208,EP N°8 - OBRA:EDIFICIO NUEVA UNO,P-1680,91300000-5,0,986586,13418,0,986586,986586,INGRESO
126,P-1680,3101030-000,2023,2,2023-02-09T00:00:00-03:00,CVT,208,SEGÚN OC 9000010357 HES 1001184844,P-1680,91300000-5,0,0,13418,0,0,0,INGRESO
127,P-1680,3101030-000,2023,2,2023-02-09T00:00:00-03:00,CVT,208,CODIGO DE OBRA 10022361 /ESPECIALIDAD: Telecomunicaciones,P-1680,91300000-5,0,0,13418,0,0,0,INGRESO
128,P-1680,3101030-000,2023,2,2023-02-09T00:00:00-03:00,CVT,209,EP N°8 - OBRA:EDIFICIO NUEVA UNO,P-1680,91300000-5,0,6405235,13419,0,6405235,6405235,INGRESO
129,P-1680,3101030-000,2023,2,2023-02-09T00:00:00-03:00,CVT,209,SEGÚN OC 9000010356 HES 1001184847,P-1680,91300000-5,0,0,13419,0,0,0,INGRESO
130,P-1680,3101030-000,2023,2,2023-02-09T00:00:00-03:00,CVT,209,"CODIGO DE OBRA 10022361 /ESPECIALIDAD: CORRIENTES
DEBILES",P-1680,91300000-5,0,0,13419,0,0,0,INGRESO
131,P-1687,3101030-000,2023,2,2023-02-10T00:00:00-03:00,CVT,245,EP 35-4 OBRA ROJAS MAGALLANES,P-1687,76299890-4,0,4608732,13424,0,4608732,4608732,INGRESO
132,P-1687,3101030-000,2023,2,2023-02-10T00:00:00-03:00,CVT,245,"130.58 UF X T/C 35.294,3200",P-1687,76299890-4,0,0,13424,0,0,0,INGRESO
133,P-1687,3101030-000,2023,2,2023-02-10T00:00:00-03:00,CVT,245,SEGUN CONTRATO: 35 (21-42) DE FECHA 03 DE DICIEMBRE 2021,P-1687,76299890-4,0,0,13424,0,0,0,INGRESO
134,P-1687,3101030-000,2023,2,2023-02-10T00:00:00-03:00,CVT,245,ESPECIALIDAD: INST.CORRIENTES DEBILES.,P-1687,76299890-4,0,0,13424,0,0,0,INGRESO
135,P-1699,3101030-000,2023,2,2023-02-13T00:00:00-03:00,CVT,1253,EP 2 Villapanamericana,P-1699,87717500-6,0,11120981,13495,0,11120981,11120981,INGRESO
