CODIGO_PROYECTO,TIPO_CUENTA,TOTAL_LB,NOMBRE_OBRA,NOMBRE_CLIENTE,TOTAL,MARGEN
P-1649,2. COSTO MATERIALES,0,INACAP VITACURA E2,CONSTRUCTORA CUEVAS Y PURCELL S.A.,9072,0.0
P-1653,2. COSTO MATERIALES,0,EDUARDO DE LA BARRA,CONSTRUCTORA E INVERSIONES VITAL SPA.,9000,0.0
P-1656,2. COSTO MATERIALES,0,MIRADOR CLUB HÍPICO,CONSTRUCTORA VITAL EDIFICACION SPA,0,0.0
P-1658,2. COSTO MATERIALES,0,VIVIPRA,VICHERAT Y PRADENAS LTDA.,47401,0.0
P-1660,2. COSTO MATERIALES,0,CORONEL ALVARADO,LARRAIN PRIETO RISOPATRON S.A.,158753,0.0
P-1661,2. COSTO MATERIALES,0,SAN VICENTE DE PAUL,DANACORP S.A,3200,0.0
P-1663,2. COSTO MATERIALES,0,OFICINAS EQUIFAX,CONSTRUCTORA VRK INGENIERIA LIMITADA,0,0.0
P-1664,2. COSTO MATERIALES,0,MK II PCI,COMERCIAL K SPA.,207670,0.0
P-1666,2. COSTO MATERIALES,0,CD AXIONLONG,EBCO S.A.,0,0.0
P-1667,3. COSTO MANO DE OBRA,0,ECO PLACILLA,CONSTRUCTORA ICF SPA,-5776759,0.0
P-1667,2. COSTO MATERIALES,0,ECO PLACILLA,CONSTRUCTORA ICF SPA,-2362317,0.0
P-1668,2. COSTO MATERIALES,0,QUILLAYES PLAZA,E.MOLINA MOREL CONSTRUCTORA S.A.,146500,0.0
P-1669,3. COSTO MANO DE OBRA,0,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,-156861,0.0
P-1669,2. COSTO MATERIALES,0,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,1424462,0.0
P-1670,2. COSTO MATERIALES,0,MK II SEGURIDAD Y REDES,COMERCIAL K SPA.,6945,0.0
P-1670,1. INGRESO,0,MK II SEGURIDAD Y REDES,COMERCIAL K SPA.,0,0.0
P-1672,2. COSTO MATERIALES,0,STA CLARA (CCDD-TELECOM),CONSTRUCTORA UPC S.A.,318910,1.0337988827111684
P-1672,1. INGRESO,0,STA CLARA (CCDD-TELECOM),CONSTRUCTORA UPC S.A.,9435519,1.0337988827111684
P-1673,2. COSTO MATERIALES,0,INACAP TEMUCO - ETAPA A,UNIVERSIDAD TECNOLOGICA DE CHILE INACAP,68000,0.0
P-1674,2. COSTO MATERIALES,0,OFICINAS BEIERSDORF CHORRILLOS,CONSTRUCTORA SUKSA S.A.,23048,0.0
P-1675,1. INGRESO,0,PALENA II,CONSTRUCTORA MYA SPA.,398016,1.0
P-1676,3. COSTO MANO DE OBRA,0,LO CAMPINO,EBCO S.A.,-1798488,0.0
P-1676,2. COSTO MATERIALES,0,LO CAMPINO,EBCO S.A.,-2031638,0.0
P-1677,3. COSTO MANO DE OBRA,0,GALVARINO GALLARDO,MOLLER Y PEREZ - COTAPOS CONSTRUCCIONES INDUSTRIALES S.A,-1992711,-0.6635516227176248
P-1677,2. COSTO MATERIALES,0,GALVARINO GALLARDO,MOLLER Y PEREZ - COTAPOS CONSTRUCCIONES INDUSTRIALES S.A,-1949557,-0.6635516227176248
P-1677,1. INGRESO,0,GALVARINO GALLARDO,MOLLER Y PEREZ - COTAPOS CONSTRUCCIONES INDUSTRIALES S.A,2369790,-0.6635516227176248
P-1679,3. COSTO MANO DE OBRA,0,JUAN SABAJ,CONSTRUCTORA GREVIA,-187507,0.0
P-1679,2. COSTO MATERIALES,0,JUAN SABAJ,CONSTRUCTORA GREVIA,-96622,0.0
P-1680,3. COSTO MANO DE OBRA,0,NUEVA UNO,CONSTRUCTORA TECSA S.A.,-22758101,0.20526367704843346
P-1680,2. COSTO MATERIALES,0,NUEVA UNO,CONSTRUCTORA TECSA S.A.,-27364513,0.20526367704843346
P-1680,1. INGRESO,0,NUEVA UNO,CONSTRUCTORA TECSA S.A.,63068231,0.20526367704843346
P-1681,1. INGRESO,0, CD ROSEN (CCTV PROVISORIO),COLCHONES ROSEN SAIC,765714,1.0
P-1682,3. COSTO MANO DE OBRA,0,PLAZA CEPPI,EMP. CONSTRUCTORA INGENIEROS S.A.,-9905519,0.01948183101909238
P-1682,2. COSTO MATERIALES,0,PLAZA CEPPI,EMP. CONSTRUCTORA INGENIEROS S.A.,-11527560,0.01948183101909238
P-1682,1. INGRESO,0,PLAZA CEPPI,EMP. CONSTRUCTORA INGENIEROS S.A.,21858931,0.01948183101909238
P-1683,2. COSTO MATERIALES,0,CD BP-A05,EBCO S.A.,31328,0.0
P-1684,3. COSTO MANO DE OBRA,0,EDIFICIO GOYCOLEA,EBCO S.A.,-4658669,0.3008157251233649
P-1684,2. COSTO MATERIALES,0,EDIFICIO GOYCOLEA,EBCO S.A.,-31987,0.3008157251233649
P-1684,1. INGRESO,0,EDIFICIO GOYCOLEA,EBCO S.A.,6708755,0.3008157251233649
P-1685,2. COSTO MATERIALES,0,MAPA EDIFICIOS NO OPERACIONALES,CLARO VICUÑA VALENZUELA S.A.,88900,0.0
P-1686,3. COSTO MANO DE OBRA,0,MACUL ICALMA,EMPRESA CONSTRUCTORA INGEVEC S.A.,-12899988,-0.16103997073400342
P-1686,2. COSTO MATERIALES,0,MACUL ICALMA,EMPRESA CONSTRUCTORA INGEVEC S.A.,-10414440,-0.16103997073400342
P-1686,1. INGRESO,0,MACUL ICALMA,EMPRESA CONSTRUCTORA INGEVEC S.A.,20080642,-0.16103997073400342
P-1687,3. COSTO MANO DE OBRA,0,ROJAS MAGALLANES,E.MOLINA MOREL CONSTRUCTORA S.A.,-6003676,0.36842442132414877
P-1687,2. COSTO MATERIALES,0,ROJAS MAGALLANES,E.MOLINA MOREL CONSTRUCTORA S.A.,-6360393,0.36842442132414877
P-1687,1. INGRESO,0,ROJAS MAGALLANES,E.MOLINA MOREL CONSTRUCTORA S.A.,19576547,0.36842442132414877
P-1688,3. COSTO MANO DE OBRA,0,SUIZA,MOLLER Y PEREZ - COTAPOS CONSTRUCCIONES INDUSTRIALES S.A,-8616919,0.0675404713619233
P-1688,2. COSTO MATERIALES,0,SUIZA,MOLLER Y PEREZ - COTAPOS CONSTRUCCIONES INDUSTRIALES S.A,-14620172,0.0675404713619233
P-1688,1. INGRESO,0,SUIZA,MOLLER Y PEREZ - COTAPOS CONSTRUCCIONES INDUSTRIALES S.A,24920214,0.0675404713619233
P-1689,2. COSTO MATERIALES,0,CASINO BUENAVENTURA,EBCO S.A.,26522,0.0
P-1690,3. COSTO MANO DE OBRA,0,ONGOLMO - HOME CONDOMINIO,CANTAUCO CONSTRUCCION LTDA.,-5165059,0.3516050144469926
P-1690,2. COSTO MATERIALES,0,ONGOLMO - HOME CONDOMINIO,CANTAUCO CONSTRUCCION LTDA.,-7192915,0.3516050144469926
P-1690,1. INGRESO,0,ONGOLMO - HOME CONDOMINIO,CANTAUCO CONSTRUCCION LTDA.,19059330,0.3516050144469926
P-1691,3. COSTO MANO DE OBRA,0,ROSARIO ROSALES,CONSTRUCTORA E INMOBILIARIA PRADOVERDE LTDA.,-252060,0.317095676072908
P-1691,2. COSTO MATERIALES,0,ROSARIO ROSALES,CONSTRUCTORA E INMOBILIARIA PRADOVERDE LTDA.,-1198536,0.317095676072908
P-1691,1. INGRESO,0,ROSARIO ROSALES,CONSTRUCTORA E INMOBILIARIA PRADOVERDE LTDA.,2124157,0.317095676072908
P-1692,3. COSTO MANO DE OBRA,0,JOSÉ PEREZ COTAPOS,EBCO S.A.,-21813347,0.07654966213950484
P-1692,2. COSTO MATERIALES,0,JOSÉ PEREZ COTAPOS,EBCO S.A.,-21367309,0.07654966213950484
P-1692,1. INGRESO,0,JOSÉ PEREZ COTAPOS,EBCO S.A.,46760128,0.07654966213950484
P-1693,3. COSTO MANO DE OBRA,0,VOLTA V0800,ECOBIO SPA,-3961236,0.0
P-1693,2. COSTO MATERIALES,0,VOLTA V0800,ECOBIO SPA,103024,0.0
P-1694,3. COSTO MANO DE OBRA,0,ECO HUEMUL,CONSTRUCTORA ICF SPA,-12624130,0.25525208890996254
P-1694,2. COSTO MATERIALES,0,ECO HUEMUL,CONSTRUCTORA ICF SPA,-14391526,0.25525208890996254
P-1694,1. INGRESO,0,ECO HUEMUL,CONSTRUCTORA ICF SPA,36274900,0.25525208890996254
P-1695,3. COSTO MANO DE OBRA,0,EDIFICIO ESTORIL,EMPRESA CONSTRUCTORA BRAVO E IZQUIERDO,-5042385,0.032413772579453916
P-1695,2. COSTO MATERIALES,0,EDIFICIO ESTORIL,EMPRESA CONSTRUCTORA BRAVO E IZQUIERDO,-10303848,0.032413772579453916
P-1695,1. INGRESO,0,EDIFICIO ESTORIL,EMPRESA CONSTRUCTORA BRAVO E IZQUIERDO,15860326,0.032413772579453916
P-1696,3. COSTO MANO DE OBRA,0,SANTA VICTORIA - TERRACORP,CONSTRUCTORA TERRACORP S.A.,-15437322,0.10050955196389495
P-1696,2. COSTO MATERIALES,0,SANTA VICTORIA - TERRACORP,CONSTRUCTORA TERRACORP S.A.,-18155176,0.10050955196389495
P-1696,1. INGRESO,0,SANTA VICTORIA - TERRACORP,CONSTRUCTORA TERRACORP S.A.,37346142,0.10050955196389495
P-1697,3. COSTO MANO DE OBRA,0,ESTOCOLMO,CONSTRUCTORA FORTALEZA S.A,-6902710,0.42436013888629237
P-1697,2. COSTO MATERIALES,0,ESTOCOLMO,CONSTRUCTORA FORTALEZA S.A,-14866665,0.42436013888629237
P-1697,1. INGRESO,0,ESTOCOLMO,CONSTRUCTORA FORTALEZA S.A,37817699,0.42436013888629237
P-1698,2. COSTO MATERIALES,0,CD ANDES,EBCO S.A.,924,1.0010164569215876
P-1698,1. INGRESO,0,CD ANDES,EBCO S.A.,909040,1.0010164569215876
P-1699,3. COSTO MANO DE OBRA,0,VILLA PANAMERICANA LOTE B,EMPRESA CONSTRUCTORA DLP S.A.,-18299646,0.44152781480307335
P-1699,2. COSTO MATERIALES,0,VILLA PANAMERICANA LOTE B,EMPRESA CONSTRUCTORA DLP S.A.,-22557868,0.44152781480307335
P-1699,1. INGRESO,0,VILLA PANAMERICANA LOTE B,EMPRESA CONSTRUCTORA DLP S.A.,73159443,0.44152781480307335
P-1700,3. COSTO MANO DE OBRA,0,CD ORIZON,EBCO S.A.,-4264241,0.2839136575697406
P-1700,2. COSTO MATERIALES,0,CD ORIZON,EBCO S.A.,-7728748,0.2839136575697406
P-1700,1. INGRESO,0,CD ORIZON,EBCO S.A.,16747965,0.2839136575697406
P-1701,3. COSTO MANO DE OBRA,0,EDIFICIO ZENTENO,CONSTRUCTORA GREVIA SPA.,-891528,-0.5630027848199336
P-1701,2. COSTO MATERIALES,0,EDIFICIO ZENTENO,CONSTRUCTORA GREVIA SPA.,-1287276,-0.5630027848199336
P-1701,1. INGRESO,0,EDIFICIO ZENTENO,CONSTRUCTORA GREVIA SPA.,1393986,-0.5630027848199336
P-1703,3. COSTO MANO DE OBRA,0,SANTA VICTORIA DANACORP,DANACORP S.A,-8696794,0.40181302237796507
P-1703,2. COSTO MATERIALES,0,SANTA VICTORIA DANACORP,DANACORP S.A,-12417197,0.40181302237796507
P-1703,1. INGRESO,0,SANTA VICTORIA DANACORP,DANACORP S.A,35296641,0.40181302237796507
P-1704,3. COSTO MANO DE OBRA,0,CD MERCADO LIBRE MEZZANINA,EBCO S.A.,-44701591,0.2744417171391959
P-1704,2. COSTO MATERIALES,0,CD MERCADO LIBRE MEZZANINA,EBCO S.A.,-58121771,0.2744417171391959
P-1704,1. INGRESO,0,CD MERCADO LIBRE MEZZANINA,EBCO S.A.,141716199,0.2744417171391959
P-1705,3. COSTO MANO DE OBRA,0,LOS CLARINES,CONSTRUCTORA INARCO S.A.,-8357637,-0.8120892372954289
P-1705,2. COSTO MATERIALES,0,LOS CLARINES,CONSTRUCTORA INARCO S.A.,-9939983,-0.8120892372954289
P-1705,1. INGRESO,0,LOS CLARINES,CONSTRUCTORA INARCO S.A.,10097527,-0.8120892372954289
P-1706,3. COSTO MANO DE OBRA,0,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,-4875121,0.31665937220715024
P-1706,2. COSTO MATERIALES,0,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,-7879330,0.31665937220715024
P-1706,1. INGRESO,0,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,18664851,0.31665937220715024
P-1707,3. COSTO MANO DE OBRA,0,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,-3813841,-0.5972411264833862
P-1707,2. COSTO MATERIALES,0,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,-2860953,-0.5972411264833862
P-1707,1. INGRESO,0,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,4178952,-0.5972411264833862
P-1708,3. COSTO MANO DE OBRA,0,ECO ESPAÑA,CONSTRUCTORA ICF SPA,-1471220,0.0
P-1708,2. COSTO MATERIALES,0,ECO ESPAÑA,CONSTRUCTORA ICF SPA,-125100,0.0
P-1708,1. INGRESO,0,ECO ESPAÑA,CONSTRUCTORA ICF SPA,0,0.0
P-1709,3. COSTO MANO DE OBRA,0,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,-9642970,0.498010261668045
P-1709,2. COSTO MATERIALES,0,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,-23337678,0.498010261668045
P-1709,1. INGRESO,0,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,65699845,0.498010261668045
P-1712,3. COSTO MANO DE OBRA,0,CENTRO COMERCIAL VIÑA OUTLET PARK,EBCO S.A.,-10019601,-0.3296553835487233
P-1712,2. COSTO MATERIALES,0,CENTRO COMERCIAL VIÑA OUTLET PARK,EBCO S.A.,-13607471,-0.3296553835487233
P-1712,1. INGRESO,0,CENTRO COMERCIAL VIÑA OUTLET PARK,EBCO S.A.,17769320,-0.3296553835487233
P-1713,3. COSTO MANO DE OBRA,0,RESERVA SAN FRANCISCO,EMPRESA NACIONAL DE CONSTRUCCIÓN LAS VERTIENTES SPA,-3277788,0.0572380450872181
P-1713,2. COSTO MATERIALES,0,RESERVA SAN FRANCISCO,EMPRESA NACIONAL DE CONSTRUCCIÓN LAS VERTIENTES SPA,-1269662,0.0572380450872181
P-1713,1. INGRESO,0,RESERVA SAN FRANCISCO,EMPRESA NACIONAL DE CONSTRUCCIÓN LAS VERTIENTES SPA,4823540,0.0572380450872181
P-1714,3. COSTO MANO DE OBRA,0,DEPARTAMENTAL II,CONSTRUCTORA FUERZA SUR DOS SPA,-8052049,0.21175997589026566
P-1714,2. COSTO MATERIALES,0,DEPARTAMENTAL II,CONSTRUCTORA FUERZA SUR DOS SPA,-6252164,0.21175997589026566
P-1714,1. INGRESO,0,DEPARTAMENTAL II,CONSTRUCTORA FUERZA SUR DOS SPA,18147027,0.21175997589026566
P-1715,3. COSTO MANO DE OBRA,0,CD LO ECHEVERS,QUEZADA Y BOETSCH,-12758158,0.14037553479743647
P-1715,2. COSTO MATERIALES,0,CD LO ECHEVERS,QUEZADA Y BOETSCH,-22151997,0.14037553479743647
P-1715,1. INGRESO,0,CD LO ECHEVERS,QUEZADA Y BOETSCH,40610937,0.14037553479743647
P-1716,3. COSTO MANO DE OBRA,0,CD ASTARA,ASTARA LOGÍSTICA CHILE SPA.,-20322771,0.5843462053281475
P-1716,2. COSTO MATERIALES,0,CD ASTARA,ASTARA LOGÍSTICA CHILE SPA.,-23165972,0.5843462053281475
P-1716,1. INGRESO,0,CD ASTARA,ASTARA LOGÍSTICA CHILE SPA.,104627321,0.5843462053281475
P-1717,2. COSTO MATERIALES,0,ECO QUILÍN I,CONSTRUCTORA ICF SPA,0,0.0
P-1718,3. COSTO MANO DE OBRA,0,PATIO COMIDAS,EBCO S.A.,-26343855,0.591713821471095
P-1718,2. COSTO MATERIALES,0,PATIO COMIDAS,EBCO S.A.,-9952970,0.591713821471095
P-1718,1. INGRESO,0,PATIO COMIDAS,EBCO S.A.,88900450,0.591713821471095
P-1719,1. INGRESO,0,CD METALPAR,EBCO S.A.,131348,1.0
P-1720,1. INGRESO,0,,,0,0.0
P-1721,3. COSTO MANO DE OBRA,0,STRIP CENTER LUIS PASTEUR,INMOBILIARIA LUIS PASTEUR S.A.,-7120681,0.3049159808720769
P-1721,2. COSTO MATERIALES,0,STRIP CENTER LUIS PASTEUR,INMOBILIARIA LUIS PASTEUR S.A.,-9089290,0.3049159808720769
P-1721,1. INGRESO,0,STRIP CENTER LUIS PASTEUR,INMOBILIARIA LUIS PASTEUR S.A.,23320880,0.3049159808720769
P-1722,1. INGRESO,0,ECO CERRILLOS,CONSTRUCTORA ICF SPA,0,0.0
P-1723,3. COSTO MANO DE OBRA,0,VILLA PANAMERICANA LOTE C,CONSTRUCTORA MENA Y OVALLE S.A.,-10269821,-0.16282551540887494
P-1723,2. COSTO MATERIALES,0,VILLA PANAMERICANA LOTE C,CONSTRUCTORA MENA Y OVALLE S.A.,-10817986,-0.16282551540887494
P-1723,1. INGRESO,0,VILLA PANAMERICANA LOTE C,CONSTRUCTORA MENA Y OVALLE S.A.,18134971,-0.16282551540887494
P-1724,3. COSTO MANO DE OBRA,0,,,-506066,0.7177865089467672
P-1724,2. COSTO MATERIALES,0,,,-7634256,0.7177865089467672
P-1724,1. INGRESO,0,,,28844553,0.7177865089467672
P-1725,3. COSTO MANO DE OBRA,0,LO CAÑAS,CONSTRUCTORA BRISAS DE BATUCO,-2705788,0.22819045078448472
P-1725,2. COSTO MATERIALES,0,LO CAÑAS,CONSTRUCTORA BRISAS DE BATUCO,-4180127,0.22819045078448472
P-1725,1. INGRESO,0,LO CAÑAS,CONSTRUCTORA BRISAS DE BATUCO,8921780,0.22819045078448472
P-1726,3. COSTO MANO DE OBRA,0,,,-2654140,0.18933056884400307
P-1726,2. COSTO MATERIALES,0,,,-14400139,0.18933056884400307
P-1726,1. INGRESO,0,,,21037279,0.18933056884400307
P-1727,3. COSTO MANO DE OBRA,0,,,-4714680,0.23048205361199456
P-1727,2. COSTO MATERIALES,0,,,-3753865,0.23048205361199456
P-1727,1. INGRESO,0,,,11005000,0.23048205361199456
P-1728,3. COSTO MANO DE OBRA,0,,,-630869,0.0
P-1728,2. COSTO MATERIALES,0,,,-1822779,0.0
P-1557,1. INGRESO,0,ROSARIO ROSALES,EBCO S.A.,0,0.0
P-1557,2. COSTO MATERIALES,0,ROSARIO ROSALES,EBCO S.A.,0,0.0
P-1557,4. COSTO SUPERVISIÓN,0,ROSARIO ROSALES,EBCO S.A.,0,0.0
P-1591,1. INGRESO,0,EDIFICIO ESTORIL,EBCO S.A.,0,0.0
P-1591,2. COSTO MATERIALES,0,EDIFICIO ESTORIL,EBCO S.A.,0,0.0
P-1591,4. COSTO SUPERVISIÓN,0,EDIFICIO ESTORIL,EBCO S.A.,0,0.0
P-1592,1. INGRESO,0,NUEVA COSTANERA 3300,EBCO S.A.,0,0.0
P-1592,3. COSTO MANO DE OBRA,0,NUEVA COSTANERA 3300,EBCO S.A.,0,0.0
P-1592,4. COSTO SUPERVISIÓN,0,NUEVA COSTANERA 3300,EBCO S.A.,0,0.0
P-1603,1. INGRESO,0,FARELLONES,EMPRESA CONSTRUCTORA DLP S.A.,0,0.0
P-1603,3. COSTO MANO DE OBRA,0,FARELLONES,EMPRESA CONSTRUCTORA DLP S.A.,0,0.0
P-1603,4. COSTO SUPERVISIÓN,0,FARELLONES,EMPRESA CONSTRUCTORA DLP S.A.,0,0.0
P-1611,1. INGRESO,0,EDIFICIO PLAZA EGAÑA,EBCO S.A.,0,0.0
P-1611,3. COSTO MANO DE OBRA,0,EDIFICIO PLAZA EGAÑA,EBCO S.A.,0,0.0
P-1611,4. COSTO SUPERVISIÓN,0,EDIFICIO PLAZA EGAÑA,EBCO S.A.,0,0.0
P-1612,1. INGRESO,0,BARRIO PARQUE SANTIAGO 7,CONSTRUCTORA ALTURAS DEL SUR S.A,0,0.0
P-1612,3. COSTO MANO DE OBRA,0,BARRIO PARQUE SANTIAGO 7,CONSTRUCTORA ALTURAS DEL SUR S.A,0,0.0
P-1612,4. COSTO SUPERVISIÓN,0,BARRIO PARQUE SANTIAGO 7,CONSTRUCTORA ALTURAS DEL SUR S.A,0,0.0
P-1620,1. INGRESO,0,"OF APOQUINDO- HABILITACIONES, INTEGRACION Y ADICIONALES.",CONSTRUCTORA INARCO S.A.,0,0.0
P-1620,3. COSTO MANO DE OBRA,0,"OF APOQUINDO- HABILITACIONES, INTEGRACION Y ADICIONALES.",CONSTRUCTORA INARCO S.A.,0,0.0
P-1620,4. COSTO SUPERVISIÓN,0,"OF APOQUINDO- HABILITACIONES, INTEGRACION Y ADICIONALES.",CONSTRUCTORA INARCO S.A.,0,0.0
P-1626,1. INGRESO,0,CLINICA BIO BIO,CONSTRUCTORA LYD S.A.,0,0.0
P-1626,3. COSTO MANO DE OBRA,0,CLINICA BIO BIO,CONSTRUCTORA LYD S.A.,0,0.0
P-1626,4. COSTO SUPERVISIÓN,0,CLINICA BIO BIO,CONSTRUCTORA LYD S.A.,0,0.0
P-1632,1. INGRESO,0,CHORRILLOS CLOROX,CONSTRUCTORA SUKSA S.A.,0,0.0
P-1632,3. COSTO MANO DE OBRA,0,CHORRILLOS CLOROX,CONSTRUCTORA SUKSA S.A.,0,0.0
P-1632,4. COSTO SUPERVISIÓN,0,CHORRILLOS CLOROX,CONSTRUCTORA SUKSA S.A.,0,0.0
P-1639,1. INGRESO,0,LYON 2546,MOLLER Y PEREZ - COTAPOS CONSTRUCCIONES INDUSTRIALES S.A,0,0.0
P-1639,3. COSTO MANO DE OBRA,0,LYON 2546,MOLLER Y PEREZ - COTAPOS CONSTRUCCIONES INDUSTRIALES S.A,0,0.0
P-1639,4. COSTO SUPERVISIÓN,0,LYON 2546,MOLLER Y PEREZ - COTAPOS CONSTRUCCIONES INDUSTRIALES S.A,0,0.0
P-1641,1. INGRESO,0,INACAP TEMUCO,DESARROLLOS CONSTRUCTIVOS AXIS SOCIEDAD ANONIMA,0,0.0
P-1641,3. COSTO MANO DE OBRA,0,INACAP TEMUCO,DESARROLLOS CONSTRUCTIVOS AXIS SOCIEDAD ANONIMA,0,0.0
P-1641,4. COSTO SUPERVISIÓN,0,INACAP TEMUCO,DESARROLLOS CONSTRUCTIVOS AXIS SOCIEDAD ANONIMA,0,0.0
P-1642,1. INGRESO,0,CORINTO,EMP. CONSTRUCTORA INGENIEROS S.A.,0,0.0
P-1642,3. COSTO MANO DE OBRA,0,CORINTO,EMP. CONSTRUCTORA INGENIEROS S.A.,0,0.0
P-1642,4. COSTO SUPERVISIÓN,0,CORINTO,EMP. CONSTRUCTORA INGENIEROS S.A.,0,0.0
P-1643,1. INGRESO,0,CHORRILLOS M4,CONSTRUCTORA SUKSA S.A.,0,0.0
P-1643,3. COSTO MANO DE OBRA,0,CHORRILLOS M4,CONSTRUCTORA SUKSA S.A.,0,0.0
P-1643,4. COSTO SUPERVISIÓN,0,CHORRILLOS M4,CONSTRUCTORA SUKSA S.A.,0,0.0
P-1644,1. INGRESO,0,MIRADOR DE SAN CRISTOBAL,EBCO S.A.,0,0.0
P-1644,3. COSTO MANO DE OBRA,0,MIRADOR DE SAN CRISTOBAL,EBCO S.A.,0,0.0
P-1644,4. COSTO SUPERVISIÓN,0,MIRADOR DE SAN CRISTOBAL,EBCO S.A.,0,0.0
P-1645,3. COSTO MANO DE OBRA,0,LOS TRES ANTONIOS,SOCIEDAD CONSTRUCTORA ECHAVARRI HERMANOS LIMITADA,0,0.0
P-1645,4. COSTO SUPERVISIÓN,0,LOS TRES ANTONIOS,SOCIEDAD CONSTRUCTORA ECHAVARRI HERMANOS LIMITADA,0,0.0
P-1648,1. INGRESO,0,ETAPA 2 CD PERALILLO TW,INMOBILIARIA Y RENTAS LOGÍSTICA S.A.,0,0.0
P-1648,3. COSTO MANO DE OBRA,0,ETAPA 2 CD PERALILLO TW,INMOBILIARIA Y RENTAS LOGÍSTICA S.A.,0,0.0
P-1648,4. COSTO SUPERVISIÓN,0,ETAPA 2 CD PERALILLO TW,INMOBILIARIA Y RENTAS LOGÍSTICA S.A.,0,0.0
P-1649,1. INGRESO,0,INACAP VITACURA E2,CONSTRUCTORA CUEVAS Y PURCELL S.A.,0,0.0
P-1649,3. COSTO MANO DE OBRA,0,INACAP VITACURA E2,CONSTRUCTORA CUEVAS Y PURCELL S.A.,0,0.0
P-1649,4. COSTO SUPERVISIÓN,0,INACAP VITACURA E2,CONSTRUCTORA CUEVAS Y PURCELL S.A.,0,0.0
P-1653,1. INGRESO,0,EDUARDO DE LA BARRA,CONSTRUCTORA E INVERSIONES VITAL SPA.,0,0.0
P-1653,3. COSTO MANO DE OBRA,0,EDUARDO DE LA BARRA,CONSTRUCTORA E INVERSIONES VITAL SPA.,0,0.0
P-1653,4. COSTO SUPERVISIÓN,0,EDUARDO DE LA BARRA,CONSTRUCTORA E INVERSIONES VITAL SPA.,0,0.0
P-1656,1. INGRESO,0,MIRADOR CLUB HÍPICO,CONSTRUCTORA VITAL EDIFICACION SPA,0,0.0
P-1656,3. COSTO MANO DE OBRA,0,MIRADOR CLUB HÍPICO,CONSTRUCTORA VITAL EDIFICACION SPA,0,0.0
